"","Date","Day","Position","Mark","Sex","Tank","Group","Trial","Fish_ID","Notes","tot_dist","mean_velocity","velocity_sd","velocity_se","high_freq","high_duration","mid_freq","mid_duration","low_freq","low_duration","low_mid_high_trans","high_mid_low_trans","freezing_freq","freezing_dur","tot_duration","Weight(g)"
"1","2/08/2019","Friday","5","Bla._","female","HA_C2","Control","5","a6798",NA,1032.56,2.29499,1.4773,0.0196991,0,0,0,0,1,450,0,0,11,1.36,450,0.608
"2","19/08/2019","Monday","4","Bla._","female","HA_C2","Control","16","a6798",NA,1327.23,2.94991,1.86706,0.0248963,4,25.12,9,42.72,6,382.16,2,1,10,1.12,450,0.608
"3","11/09/2019","Wednesday","2","Bla._","female","HA_C2","Control","11","a6798",NA,1093.81,2.43112,1.28904,0.0171887,0,0,0,0,1,450,0,0,15,1.84,450,0.608
"4","2/08/2019","Friday","2","_.Bla","male","HA_T4","Treatment","24","a6799",NA,895.105,1.98948,1.66169,0.0221578,0,0,0,0,1,450,0,0,38,22.96,450,0.493
"5","19/08/2019","Monday","6","_.Bla","male","HA_T4","Treatment","5","a6799",NA,556.469,1.24101,1.66836,0.0222844,0,0,0,0,4,448.56,0,0,56,63.76,449.44,0.493
"6","11/09/2019","Wednesday","5","_.Bla","male","HA_T4","Treatment","10","a6799",NA,385.905,0.857719,1.41424,0.0188582,0,0,0,0,1,450,0,0,36,249.68,450,0.493
"7","2/08/2019","Friday","5","_.Yel","male","HA_C4","Control","20","a6807",NA,791.637,1.75951,1.43399,0.0191215,0,0,0,0,1,450,0,0,39,19.92,450,0.394
"8","19/08/2019","Monday","1","_.Yel","male","HA_C4","Control","24","a6807",NA,318.112,0.707042,0.557614,0.00743551,0,0,0,0,1,450,0,0,76,39.92,450,0.394
"9","11/09/2019","Wednesday","1","_.Yel","male","HA_C4","Control","5","a6807",NA,1027.82,2.28444,1.93348,0.025782,1,0.56,2,3.76,2,445.68,1,0,24,3.44,450,0.394
"10","2/08/2019","Friday","5","Bla.Blu","male","HA_T3","Treatment","14","a6808","RE-RUN AFTER WATER CHANGE",2020.34,4.49043,3.07342,0.0409826,13,71.68,34,81.76,22,296.56,10,11,5,0.48,450,0.437
"11","19/08/2019","Monday","1","Bla.Blu","male","HA_T3","Treatment","26","a6808",NA,2040.2,4.53459,2.47669,0.0330255,20,85.68,36,105.92,17,258.4,8,7,5,0.4,450,0.437
"12","11/09/2019","Wednesday","2","Bla.Blu","male","HA_T3","Treatment","4","a6808",NA,1667.02,3.70516,1.9672,0.0262317,4,12.32,15,87.92,12,349.76,4,1,7,0.72,450,0.437
"13","2/08/2019","Friday","1","Blu.Pur","female","HA_C3","Control","13","a6813",NA,1399.67,3.11092,2.42849,0.0323828,4,22.16,11,50.72,8,377.12,2,1,15,18,450,0.619
"14","19/08/2019","Monday","1","Blu.Pur","female","HA_C3","Control","4","a6813",NA,2171.74,4.82695,2.94136,0.0392216,12,61.6,30,82.56,19,305.84,10,8,3,0.24,450,0.619
"15","11/09/2019","Wednesday","1","Blu.Pur","female","HA_C3","Control","25","a6813",NA,1154.15,2.56524,2.03212,0.0270974,0,0,3,35.12,4,414.88,0,0,13,75.36,450,0.619
"16","2/08/2019","Friday","2","_.Pur","female","HA_T1","Treatment","4","a6825",NA,1647.85,3.66253,1.85699,0.0247621,1,3.12,5,36.96,5,409.92,1,1,4,0.4,450,0.748
"17","19/08/2019","Monday","3","_.Pur","female","HA_T1","Treatment","12","a6825",NA,2176.71,4.838,2.35084,0.0313473,14,140.64,27,83.2,14,226.16,10,9,1,0.08,450,0.748
"18","11/09/2019","Wednesday","1","_.Pur","female","HA_T1","Treatment","17","a6825",NA,2046.97,4.54963,2.68909,0.0358577,6,49.12,13,36.8,8,364.08,5,6,7,0.72,450,0.748
"19","2/08/2019","Friday","4","Gre.Whi","male","HA_T2","Treatment","9","a6833",NA,1243.61,2.76408,1.48218,0.0197641,0,0,0,0,1,450,0,0,10,1.04,450,0.494
"20","19/08/2019","Monday","5","Gre.Whi","male","HA_T2","Treatment","20","a6833",NA,1632.83,3.62915,2.14941,0.0286613,5,29.28,18,50.32,14,370.4,2,0,8,1.68,450,0.494
"21","11/09/2019","Wednesday","2","Gre.Whi","male","HA_T2","Treatment","22","a6833",NA,2109,4.6875,2.21602,0.0295496,14,82.48,32,132.4,19,235.12,10,5,2,0.16,450,0.494
"22","2/08/2019","Friday","4","_.Pin","male","HA_C4","Control","19","a6839",NA,885.945,1.96912,1.45606,0.0194159,3,15.6,8,29.6,6,404.8,3,3,17,3.36,450,NA
"23","2/08/2019","Friday","5","Pin.Pin","female","HA_T2","Treatment","8","a6840",NA,478.989,1.06461,0.949478,0.0126608,0,0,0,0,1,450,0,0,41,32.32,450,0.797
"24","19/08/2019","Monday","6","Pin.Pin","female","HA_T2","Treatment","20","a6840",NA,1757.57,3.9064,3.05837,0.0407819,11,40.24,24,50.8,14,358.96,9,7,4,0.72,450,0.797
"25","11/09/2019","Wednesday","1","Pin.Pin","female","HA_T2","Treatment","22","a6840",NA,1400.52,3.11282,2.08265,0.0277711,5,38.08,13,34.8,9,377.12,2,3,7,1.76,450,0.797
"26","2/08/2019","Friday","3","Pin.Pur","male","HA_T3","Treatment","15","a6842",NA,1348.89,2.99807,1.50543,0.0200742,0,0,2,4.8,3,445.2,0,0,11,1.12,450,0.478
"27","19/08/2019","Monday","6","Pin.Pur","male","HA_T3","Treatment","25","a6842",NA,779.226,1.73192,1.66094,0.0221479,0,0,0,0,1,450,0,0,35,55.28,450,0.478
"28","11/09/2019","Wednesday","2","Pin.Pur","male","HA_T3","Treatment","1","a6842",NA,1853.17,4.11889,2.54222,0.0338993,10,57.04,19,49.2,10,343.76,7,7,9,1.04,450,0.478
"29","11/09/2019","Wednesday","3","Pin.Blu","male","HA_C4","Control","5","a6843",NA,759.557,1.6882,1.70922,0.0227916,0,0,0,0,1,450,0,0,44,82.96,450,0.462
"30","2/08/2019","Friday","6","Pin.Gre","female","HA_C3","Control","12","a6845",NA,282.717,0.628372,0.725507,0.00967428,0,0,0,0,1,450,0,0,69,140.64,450,0.481
"31","19/08/2019","Monday","3","Pin.Gre","female","HA_C3","Control","1","a6845",NA,453.05,1.00696,0.907328,0.0120988,0,0,0,0,1,450,0,0,64,47.92,450,0.481
"32","11/09/2019","Wednesday","2","Pin.Gre","female","HA_C3","Control","25","a6845",NA,243.484,0.541172,0.636146,0.00848271,0,0,0,0,1,450,0,0,55,165.28,450,0.481
"33","2/08/2019","Friday","6","Pin.Yel","male","HA_C2","Control","4","a6847",NA,1338.48,2.97492,1.92412,0.0256573,5,13.52,10,33.76,6,402.72,3,2,14,2.16,450,0.442
"34","19/08/2019","Monday","3","Pin.Yel","male","HA_C2","Control","14","a6847",NA,763.382,1.69671,1.35816,0.0181104,1,8.64,5,16.8,5,424.56,0,1,28,12,450,0.442
"35","11/09/2019","Wednesday","3","Pin.Yel","male","HA_C2","Control","11","a6847",NA,677.193,1.50514,1.4617,0.0194911,0,0,0,0,1,450,0,0,44,74.56,450,0.442
"36","2/08/2019","Friday","5","Gre.Yel","male","HA_C1","Control","24","a6859",NA,1405.35,3.12356,1.92363,0.0256507,4,9.36,10,39.28,7,401.36,1,1,8,1.76,450,0.511
"37","19/08/2019","Monday","4","Gre.Yel","male","HA_C1","Control","8","a6859",NA,1561.7,3.47105,1.86278,0.0248392,7,24.72,15,75.44,9,349.84,5,4,3,0.4,450,0.511
"38","11/09/2019","Wednesday","5","Gre.Yel","male","HA_C1","Control","19","a6859",NA,301.684,0.670529,0.665891,0.00887933,0,0,0,0,1,450,0,0,73,52.96,450,0.511
"39","2/08/2019","Friday","5","Gre.Gre","male","HA_T4","Treatment","23","a6869",NA,481.794,1.07084,0.966979,0.0128942,0,0,1,0.24,1,449.76,0,0,55,31.12,450,0.463
"40","19/08/2019","Monday","6","Gre.Gre","male","HA_T4","Treatment","6","a6869",NA,342.384,0.760989,1.10438,0.0147264,0,0,0,0,1,450,0,0,60,134.56,450,0.463
