Video_ID,Stim1,Stim1,Phase_1,Phase_2
1.2,Shoal 2,Dots 2,Positive,Negative
1.4,Big zf 2,Dots 4,Positive,Negative
2.2,Shoal 4,Leaf fish 2,Positive,Negative
2.4,Big zf 10 (not 4),Leaf fish 4,Positive,Negative
3.2,Shoal 6 ,Sea snake 2,Positive,Negative
3.4,Big zf 6,Sea snake 4,Positive,Negative
4.2,Shoal 8,Black white zf 2,Positive,Negative
4.4,Big zf 8,Black white zf 4,Positive,Negative
1.1,Dots 1,Shoal 1,Negative,Positive
1.3,Dots 3,Big zf 1,Negative,Positive
2.1,Leaf fish 1,Shoal 3,Negative,Positive
2.3,Leaf fish 3,Big zf 3,Negative,Positive
3.1,Sea snake 1,Shoal 5,Negative,Positive
3.3,Sea snake 3,Big zf 9 (not 5),Negative,Positive
4.1,Black white zf 1,Shoal 7,Negative,Positive
4.3,Black white zf 3,Big zf 7,Negative,Positive
