"000:00:00.000","Info","2019-10-08 00:58:31","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7087 a7683 a7292 a7155"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.667","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.668","","","","","","ZONE_DISTANCES",6245,8192,137,4222,1090,17324,2569,6771
"000:35:30.668","","","","","","ZONE_TIMERS",120.148,179.855,0.714,299.289,7.555,292.447,20.561,279.441
"000:35:30.669","","","","","","ZONE_COUNTERS",21,21,1,1,7,8,12,13
"000:35:30.669","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.670","","","","","","TOTAL_ARENA_DISTANCES",14437,4359,18414,9340
"000:40:30.739","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.739","","","","","","ZONE_DISTANCES",6970,5000,10507,1090,15257,678,5212,4040
"000:40:30.740","","","","","","ZONE_TIMERS",177.868,122.203,290.188,9.882,293.222,6.848,207.413,92.657
"000:40:30.740","","","","","","ZONE_COUNTERS",16,17,5,5,6,6,11,11
"000:40:30.741","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.741","","","","","","TOTAL_ARENA_DISTANCES",11970,11597,15935,9252
"000:45:30.808","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.809","","","","","","ZONE_DISTANCES",683,5297,672,6359,741,16060,553,1355
"000:45:30.809","","","","","","ZONE_TIMERS",11.856,288.213,9.290,290.779,9.834,290.235,94.524,205.545
"000:45:30.810","","","","","","ZONE_COUNTERS",4,5,2,2,2,2,1,1
"000:45:30.811","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.811","","","","","","TOTAL_ARENA_DISTANCES",5980,7031,16801,1908
"000:50:30.858","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.859","","","","","","ZONE_DISTANCES",4046,4141,6667,303,10840,813,1650,599
"000:50:30.859","","","","","","ZONE_TIMERS",118.569,181.480,296.259,3.790,292.193,7.856,289.974,10.074
"000:50:30.860","","","","","","ZONE_COUNTERS",16,16,1,1,3,3,1,1
"000:50:30.860","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.861","","","","","","TOTAL_ARENA_DISTANCES",8187,6970,11653,2249
"000:55:30.924","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.924","","","","","","ZONE_DISTANCES",1470,6897,228,5019,558,10424,424,3078
"000:55:30.925","","","","","","ZONE_TIMERS",24.547,275.518,4.628,295.436,4.465,295.599,24.249,275.815
"000:55:30.925","","","","","","ZONE_COUNTERS",7,7,1,1,3,3,1,1
"000:55:30.926","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.926","","","","","","TOTAL_ARENA_DISTANCES",8367,5247,10982,3501
"001:00:30.975","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.975","","","","","","ZONE_DISTANCES",5910,5435,4863,99,11515,324,1967,986
"001:00:30.976","","","","","","ZONE_TIMERS",154.408,145.642,297.586,2.464,293.766,6.284,286.731,13.319
"001:00:30.976","","","","","","ZONE_COUNTERS",21,21,1,1,2,2,4,4
"001:00:30.976","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.977","","","","","","TOTAL_ARENA_DISTANCES",11345,4963,11839,2953
"001:00:31.035","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.035","","","","","","ZONE_DISTANCES",25324,34962,23074,17092,40001,45623,12375,16829
"001:00:31.036","","","","","","ZONE_TIMERS",607.403,1192.913,898.674,901.642,901.044,899.272,923.462,876.855
"001:00:31.036","","","","","","ZONE_COUNTERS",84,83,9,8,21,21,28,28
"001:00:31.037","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.037","","","","","","TOTAL_ARENA_DISTANCES",60286,40166,85624,29204
"001:03:02.862","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.862","","","","","","ZONE_DISTANCES",1153,1097,156,2598,282,2248,281,1533
"001:03:02.863","","","","","","ZONE_TIMERS",16.510,43.539,1.844,58.205,2.784,57.265,2.252,57.797
"001:03:02.863","","","","","","ZONE_COUNTERS",3,4,1,1,2,2,2,3
"001:03:02.864","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.864","","","","","","TOTAL_ARENA_DISTANCES",2250,2754,2530,1814
"001:04:02.930","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.931","","","","","","ZONE_DISTANCES",1459,872,1311,142,1521,758,299,451
"001:04:02.931","","","","","","ZONE_TIMERS",43.637,16.430,56.785,3.283,50.598,9.470,50.311,9.756
"001:04:02.932","","","","","","ZONE_COUNTERS",5,5,1,1,1,1,1,1
"001:04:02.932","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.933","","","","","","TOTAL_ARENA_DISTANCES",2331,1452,2279,750
"001:05:02.997","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:02.997","","","","","","ZONE_DISTANCES",1208,1459,458,862,426,2365,6,0
"001:05:02.998","","","","","","ZONE_TIMERS",31.701,28.364,4.537,55.528,5.558,54.507,60.066,0.000
"001:05:02.998","","","","","","ZONE_COUNTERS",6,6,1,1,2,2,1,0
"001:05:02.999","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.999","","","","","","TOTAL_ARENA_DISTANCES",2667,1320,2791,6
"001:06:03.074","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.074","","","","","","ZONE_DISTANCES",1357,455,2765,437,2335,292,806,0
"001:06:03.075","","","","","","ZONE_TIMERS",54.284,5.792,55.367,4.709,55.519,4.558,60.077,0.000
"001:06:03.076","","","","","","ZONE_COUNTERS",3,3,1,1,2,2,1,0
"001:06:03.076","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.077","","","","","","TOTAL_ARENA_DISTANCES",1812,3202,2627,806
"001:07:03.124","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.125","","","","","","ZONE_DISTANCES",997,1425,227,2447,759,3591,220,0
"001:07:03.126","","","","","","ZONE_TIMERS",17.029,43.021,1.364,58.686,10.219,49.830,60.050,0.000
"001:07:03.126","","","","","","ZONE_COUNTERS",5,5,1,1,1,1,1,0
"001:07:03.127","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.127","","","","","","TOTAL_ARENA_DISTANCES",2422,2675,4350,220
"001:07:03.193","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.193","","","","","","ZONE_DISTANCES",6174,5308,4917,6486,5323,9254,1612,1984
"001:07:03.194","","","","","","ZONE_TIMERS",163.163,137.149,119.899,180.413,124.680,175.631,232.758,67.554
"001:07:03.195","","","","","","ZONE_COUNTERS",20,21,3,3,6,6,3,3
"001:07:03.195","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.196","","","","","","TOTAL_ARENA_DISTANCES",11482,11403,14577,3596
"001:07:03.196","Info","2019-10-08 02:05:34","Service 'BLUGRE' : Execution end"
