"000:00:00.000","Info","2019-10-08 02:20:31","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7550 a6894 a7468 a6991"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.597","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.598","","","","","","ZONE_DISTANCES",6491,14822,3557,2357,2688,4763,14268,12159
"000:35:30.598","","","","","","ZONE_TIMERS",63.114,236.958,235.765,64.307,190.048,110.024,165.142,134.931
"000:35:30.599","","","","","","ZONE_COUNTERS",19,20,9,9,5,5,23,23
"000:35:30.600","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.600","","","","","","TOTAL_ARENA_DISTANCES",21313,5915,7451,26427
"000:40:30.652","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.652","","","","","","ZONE_DISTANCES",13366,10226,3726,3936,5083,6221,6594,8283
"000:40:30.653","","","","","","ZONE_TIMERS",192.420,107.634,42.877,257.177,78.109,221.945,136.444,163.610
"000:40:30.654","","","","","","ZONE_COUNTERS",26,26,6,6,15,14,13,12
"000:40:30.654","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.655","","","","","","TOTAL_ARENA_DISTANCES",23592,7662,11304,14877
"000:45:30.710","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.710","","","","","","ZONE_DISTANCES",10448,16952,5640,5461,3657,3745,3795,5362
"000:45:30.711","","","","","","ZONE_TIMERS",106.734,193.323,254.200,45.857,168.968,131.089,61.446,238.611
"000:45:30.712","","","","","","ZONE_COUNTERS",33,32,18,18,8,7,12,11
"000:45:30.712","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.712","","","","","","TOTAL_ARENA_DISTANCES",27400,11101,7402,9157
"000:50:30.778","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.779","","","","","","ZONE_DISTANCES",12755,9670,3752,1885,1927,1243,3278,1418
"000:50:30.780","","","","","","ZONE_TIMERS",191.198,108.870,198.870,101.197,53.691,246.376,125.600,174.468
"000:50:30.780","","","","","","ZONE_COUNTERS",27,26,6,5,2,1,5,5
"000:50:30.781","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.781","","","","","","TOTAL_ARENA_DISTANCES",22425,5637,3170,4696
"000:55:30.839","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.840","","","","","","ZONE_DISTANCES",819,6221,1710,4961,1671,831,2107,3223
"000:55:30.840","","","","","","ZONE_TIMERS",48.875,251.185,111.469,188.591,289.190,10.870,73.774,226.286
"000:55:30.841","","","","","","ZONE_COUNTERS",7,7,8,7,3,2,7,7
"000:55:30.842","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
