"000:00:00.000","Info","2019-10-09 00:38:36","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7658 a7549 a6798 a7006"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.791","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.792","","","","","","ZONE_DISTANCES",31265,28428,12332,16141,14825,14666,11791,11050
"000:35:30.792","","","","","","ZONE_TIMERS",164.969,135.083,130.076,169.977,187.261,112.791,166.518,133.535
"000:35:30.793","","","","","","ZONE_COUNTERS",71,70,37,37,28,28,31,31
"000:35:30.793","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.794","","","","","","TOTAL_ARENA_DISTANCES",59693,28473,29491,22841
"000:40:30.860","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.861","","","","","","ZONE_DISTANCES",20987,26364,20633,11087,4507,7569,8229,9843
"000:40:30.861","","","","","","ZONE_TIMERS",124.099,175.969,191.078,108.990,108.238,191.830,90.566,209.503
"000:40:30.862","","","","","","ZONE_COUNTERS",59,58,49,48,11,11,22,22
"000:40:30.862","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.863","","","","","","TOTAL_ARENA_DISTANCES",47351,31720,12076,18073
"000:45:30.925","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.925","","","","","","ZONE_DISTANCES",25890,18239,15111,17554,18017,8085,5573,5964
"000:45:30.926","","","","","","ZONE_TIMERS",226.120,73.943,137.885,162.179,253.384,46.680,145.214,154.850
"000:45:30.927","","","","","","ZONE_COUNTERS",55,54,35,35,19,19,14,14
"000:45:30.927","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.928","","","","","","TOTAL_ARENA_DISTANCES",44129,32665,26102,11537
"000:50:31.001","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:31.001","","","","","","ZONE_DISTANCES",22447,19202,15985,19007,1690,13159,3524,5163
"000:50:31.002","","","","","","ZONE_TIMERS",139.923,160.152,132.521,167.553,10.268,289.806,61.227,238.848
"000:50:31.003","","","","","","ZONE_COUNTERS",54,54,41,42,4,4,11,11
"000:50:31.003","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.004","","","","","","TOTAL_ARENA_DISTANCES",41649,34992,14849,8687
"000:55:31.086","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:31.087","","","","","","ZONE_DISTANCES",22790,17122,15804,20562,13749,6121,5180,6654
"000:55:31.088","","","","","","ZONE_TIMERS",215.609,84.477,137.591,162.494,260.910,39.175,186.696,113.389
"000:55:31.088","","","","","","ZONE_COUNTERS",49,49,45,45,14,14,14,14
"000:55:31.089","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.089","","","","","","TOTAL_ARENA_DISTANCES",39912,36366,19869,11833
"001:00:31.165","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.166","","","","","","ZONE_DISTANCES",16700,17217,19599,12504,3473,12654,1758,2804
"001:00:31.166","","","","","","ZONE_TIMERS",153.207,146.870,168.271,131.807,20.359,279.719,28.059,272.018
"001:00:31.167","","","","","","ZONE_COUNTERS",43,42,51,50,9,9,6,6
"001:00:31.168","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.168","","","","","","TOTAL_ARENA_DISTANCES",33917,32103,16127,4563
"001:00:31.233","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.234","","","","","","ZONE_DISTANCES",140079,126572,99464,96855,56261,62254,36055,41478
"001:00:31.234","","","","","","ZONE_TIMERS",1023.937,776.497,897.431,903.002,840.423,960.011,678.281,1122.153
"001:00:31.235","","","","","","ZONE_COUNTERS",327,326,255,255,82,83,95,96
"001:00:31.236","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.236","","","","","","TOTAL_ARENA_DISTANCES",266651,196319,118515,77534
"001:03:03.403","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.403","","","","","","ZONE_DISTANCES",6,0,0,0,42,0,267,64
"001:03:03.404","","","","","","ZONE_TIMERS",60.064,0.000,60.064,0.000,60.064,0.000,59.858,0.205
"001:03:03.405","","","","","","ZONE_COUNTERS",1,0,1,0,1,0,1,1
"001:03:03.406","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.406","","","","","","TOTAL_ARENA_DISTANCES",6,0,42,330
"001:04:03.495","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.495","","","","","","ZONE_DISTANCES",346,0,0,0,935,1069,2064,208
"001:04:03.496","","","","","","ZONE_TIMERS",60.092,0.000,60.092,0.000,7.910,52.182,58.293,1.799
"001:04:03.497","","","","","","ZONE_COUNTERS",1,0,1,0,2,2,2,1
"001:04:03.498","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.498","","","","","","TOTAL_ARENA_DISTANCES",345,0,2003,2272
"001:05:03.556","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.557","","","","","","ZONE_DISTANCES",0,0,0,0,1355,490,1272,1430
"001:05:03.558","","","","","","ZONE_TIMERS",60.061,0.000,60.061,0.000,49.451,10.609,28.338,31.723
"001:05:03.558","","","","","","ZONE_COUNTERS",1,0,1,0,2,2,5,5
