"000:00:00.000","Info","2019-10-09 03:48:37","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6932 a7089 a7222 a7570"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.597","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.597","","","","","","ZONE_DISTANCES",96,3562,11338,14016,16850,13404,12297,24198
"000:35:30.598","","","","","","ZONE_TIMERS",1.427,298.642,130.458,169.610,155.571,144.497,97.905,202.163
"000:35:30.599","","","","","","ZONE_COUNTERS",1,2,60,60,37,37,57,57
"000:35:30.599","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.600","","","","","","TOTAL_ARENA_DISTANCES",3658,25353,30255,36495
"000:40:30.669","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.670","","","","","","ZONE_DISTANCES",1628,904,18356,11290,4093,4717,24913,8510
"000:40:30.671","","","","","","ZONE_TIMERS",281.075,18.996,183.118,116.953,138.331,161.740,222.548,77.524
"000:40:30.671","","","","","","ZONE_COUNTERS",3,3,61,62,17,17,53,54
"000:40:30.672","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.672","","","","","","TOTAL_ARENA_DISTANCES",2532,29647,8810,33423
"000:45:30.743","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.744","","","","","","ZONE_DISTANCES",2176,7,495,8200,663,6314,9390,17759
"000:45:30.744","","","","","","ZONE_TIMERS",299.853,0.220,5.885,294.188,9.571,290.502,92.837,207.236
"000:45:30.745","","","","","","ZONE_COUNTERS",2,1,5,6,7,7,53,54
"000:45:30.746","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.746","","","","","","TOTAL_ARENA_DISTANCES",2183,8694,6977,27149
"000:50:30.803","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.803","","","","","","ZONE_DISTANCES",1809,957,10150,433,4695,3829,14285,4339
"000:50:30.804","","","","","","ZONE_TIMERS",107.526,192.532,293.799,6.259,144.192,155.866,246.392,53.666
