"000:00:00.000","Info","2019-10-10 01:36:35","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6813 a7361 a7017 a7679"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.596","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.596","","","","","","ZONE_DISTANCES",23196,24797,18962,16097,21347,16766,5719,4327
"000:35:30.597","","","","","","ZONE_TIMERS",138.866,161.202,207.612,92.456,211.845,88.222,289.433,10.635
"000:35:30.597","","","","","","ZONE_COUNTERS",50,50,40,39,48,47,13,12
"000:35:30.598","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.598","","","","","","TOTAL_ARENA_DISTANCES",47993,35059,38114,10046
"000:40:30.672","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.673","","","","","","ZONE_DISTANCES",19508,24580,3609,5971,16617,16508,1909,1412
"000:40:30.673","","","","","","ZONE_TIMERS",110.441,189.635,47.668,252.408,94.569,205.507,293.706,6.370
"000:40:30.674","","","","","","ZONE_COUNTERS",50,51,10,9,40,39,4,3
"000:40:30.674","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.675","","","","","","TOTAL_ARENA_DISTANCES",44087,9580,33124,3320
