"000:00:00.000","Info","2019-10-10 03:05:00","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7497 a7322 a7264 a7232"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.511","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.511","","","","","","ZONE_DISTANCES",4284,13024,14126,20061,6467,15462,3282,4770
"000:35:30.512","","","","","","ZONE_TIMERS",60.200,239.802,107.850,192.152,67.414,232.587,119.972,180.030
"000:35:30.512","","","","","","ZONE_COUNTERS",19,19,38,39,22,22,8,8
"000:35:30.513","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.513","","","","","","TOTAL_ARENA_DISTANCES",17308,34187,21929,8052
"000:40:30.580","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.581","","","","","","ZONE_DISTANCES",992,7371,15887,15044,4632,8075,591,3602
"000:40:30.581","","","","","","ZONE_TIMERS",5.802,294.268,150.162,149.907,98.687,201.383,148.665,151.405
"000:40:30.582","","","","","","ZONE_COUNTERS",3,4,34,34,12,11,2,2
"000:40:30.582","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.582","","","","","","TOTAL_ARENA_DISTANCES",8362,30931,12707,4193
"000:45:30.593","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.594","","","","","","ZONE_DISTANCES",0,3101,10780,12999,1458,2986,2866,995
"000:45:30.595","","","","","","ZONE_TIMERS",0.000,300.012,84.874,215.137,52.613,247.399,285.179,14.833
"000:45:30.595","","","","","","ZONE_COUNTERS",0,1,31,30,5,4,4,4
"000:45:30.596","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.599","","","","","","TOTAL_ARENA_DISTANCES",3101,23778,4444,3861
"000:50:30.633","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.634","","","","","","ZONE_DISTANCES",534,3074,10257,6772,2179,3580,221,4188
"000:50:30.634","","","","","","ZONE_TIMERS",2.396,297.643,182.727,117.312,103.616,196.423,2.595,297.444
"000:50:30.635","","","","","","ZONE_COUNTERS",2,3,19,19,6,6,1,1
"000:50:30.636","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.636","","","","","","TOTAL_ARENA_DISTANCES",3608,17030,5759,4409
"000:55:30.647","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.649","","","","","","ZONE_DISTANCES",1740,6073,10135,10549,140,2669,1394,7081
"000:55:30.651","","","","","","ZONE_TIMERS",53.190,246.821,160.056,139.955,1.067,298.945,70.123,229.888
"000:55:30.652","","","","","","ZONE_COUNTERS",6,7,22,23,1,2,6,6
"000:55:30.654","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.655","","","","","","TOTAL_ARENA_DISTANCES",7814,20684,2809,8475
"001:00:30.704","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.706","","","","","","ZONE_DISTANCES",1386,3673,5707,7112,1866,4455,665,4401
"001:00:30.707","","","","","","ZONE_TIMERS",10.813,289.243,45.580,254.476,23.112,276.944,76.284,223.772
"001:00:30.709","","","","","","ZONE_COUNTERS",3,4,13,14,5,6,3,3
"001:00:30.710","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.712","","","","","","TOTAL_ARENA_DISTANCES",5059,12818,6322,5066
"001:00:30.801","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.802","","","","","","ZONE_DISTANCES",8936,36316,66892,72537,16742,37227,9019,25037
"001:00:30.802","","","","","","ZONE_TIMERS",132.403,1667.805,731.252,1068.956,346.511,1453.697,702.821,1097.388
"001:00:30.803","","","","","","ZONE_COUNTERS",33,33,155,156,48,49,21,22
"001:00:30.803","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.803","","","","","","TOTAL_ARENA_DISTANCES",45253,139429,53969,34055
"001:03:02.561","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.561","","","","","","ZONE_DISTANCES",0,0,0,0,200,0,0,6
"001:03:02.562","","","","","","ZONE_TIMERS",0.000,60.075,0.000,60.075,60.075,0.000,0.000,60.075
"001:03:02.563","","","","","","ZONE_COUNTERS",0,1,0,1,1,0,0,1
"001:03:02.563","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.564","","","","","","TOTAL_ARENA_DISTANCES",0,0,200,6
"001:04:02.610","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.611","","","","","","ZONE_DISTANCES",0,0,0,0,6026,19,0,149
"001:04:02.612","","","","","","ZONE_TIMERS",0.000,60.048,0.000,60.048,59.938,0.110,0.000,60.048
"001:04:02.613","","","","","","ZONE_COUNTERS",0,1,0,1,2,1,0,1
"001:04:02.614","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.615","","","","","","TOTAL_ARENA_DISTANCES",0,0,6045,149
"001:05:02.682","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:02.683","","","","","","ZONE_DISTANCES",0,148,320,136,535,5365,0,73
"001:05:02.684","","","","","","ZONE_TIMERS",0.000,60.072,59.317,0.755,6.878,53.193,0.000,60.072
"001:05:02.684","","","","","","ZONE_COUNTERS",0,1,1,1,2,2,0,1
"001:05:02.685","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.685","","","","","","TOTAL_ARENA_DISTANCES",148,456,5900,73
"001:06:02.742","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:02.743","","","","","","ZONE_DISTANCES",0,0,0,0,1011,735,0,0
"001:06:02.743","","","","","","ZONE_TIMERS",0.000,60.059,60.059,0.000,12.954,47.105,0.000,60.059
"001:06:02.744","","","","","","ZONE_COUNTERS",0,1,1,0,2,3,0,1
"001:06:02.745","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.745","","","","","","TOTAL_ARENA_DISTANCES",0,0,1746,0
