"000:00:00.000","Info","2019-10-11 00:07:47","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6930 a7737 a7578 a7184"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.795","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.796","","","","","","ZONE_DISTANCES",4915,9950,16939,19800,0,0,5624,7179
"000:35:30.796","","","","","","ZONE_TIMERS",66.492,233.574,133.133,166.933,296.023,4.044,188.080,111.986
"000:35:30.797","","","","","","ZONE_COUNTERS",20,20,35,35,46,46,15,15
"000:35:30.797","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.797","","","","","","TOTAL_ARENA_DISTANCES",14865,36739,0,12803
"000:40:30.861","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.861","","","","","","ZONE_DISTANCES",5270,6620,6805,22557,447,3311,4590,4868
"000:40:30.862","","","","","","ZONE_TIMERS",127.630,172.434,46.330,253.734,118.339,181.726,235.037,65.027
"000:40:30.862","","","","","","ZONE_COUNTERS",13,13,18,19,44,44,11,10
"000:40:30.862","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.863","","","","","","TOTAL_ARENA_DISTANCES",11889,29362,3758,9458
"000:45:30.956","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.956","","","","","","ZONE_DISTANCES",3106,5151,11859,16619,5926,8544,6641,12079
"000:45:30.957","","","","","","ZONE_TIMERS",103.790,196.305,122.500,177.594,189.702,110.392,70.826,229.268
"000:45:30.957","","","","","","ZONE_COUNTERS",10,9,32,32,20,20,21,21
"000:45:30.957","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.958","","","","","","TOTAL_ARENA_DISTANCES",8258,28479,14470,18720
"000:50:31.044","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:31.044","","","","","","ZONE_DISTANCES",4748,6941,15927,19481,12925,9879,8467,7181
