"000:00:00.000","Info","2019-10-11 01:51:17","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7259 a7661 a8066 a7418"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.596","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.597","","","","","","ZONE_DISTANCES",21944,20135,27434,33394,18159,17241,17983,17453
"000:35:30.598","","","","","","ZONE_TIMERS",153.223,146.846,127.368,172.702,202.203,97.867,150.622,149.448
"000:35:30.598","","","","","","ZONE_COUNTERS",50,50,57,58,41,40,48,48
"000:35:30.599","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.599","","","","","","TOTAL_ARENA_DISTANCES",42078,60828,35400,35436
"000:40:30.674","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.675","","","","","","ZONE_DISTANCES",19890,24949,27330,30929,20953,23052,7757,10572
"000:40:30.675","","","","","","ZONE_TIMERS",106.307,193.769,145.182,154.894,98.160,201.917,80.904,219.173
"000:40:30.676","","","","","","ZONE_COUNTERS",50,51,43,43,51,50,19,20
"000:40:30.677","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.677","","","","","","TOTAL_ARENA_DISTANCES",44839,58259,44005,18329
"000:45:30.736","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.737","","","","","","ZONE_DISTANCES",17352,25507,25967,26895,14248,26825,15858,14738
"000:45:30.737","","","","","","ZONE_TIMERS",127.825,172.236,154.063,145.998,78.610,221.451,106.492,193.569
"000:45:30.738","","","","","","ZONE_COUNTERS",65,66,58,58,34,33,38,39
"000:45:30.739","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.739","","","","","","TOTAL_ARENA_DISTANCES",42859,52862,41073,30596
"000:50:30.789","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.790","","","","","","ZONE_DISTANCES",21898,16806,22222,29845,15015,21503,8140,15652
"000:50:30.790","","","","","","ZONE_TIMERS",159.217,140.835,108.371,191.680,127.762,172.289,61.297,238.754
"000:50:30.791","","","","","","ZONE_COUNTERS",57,58,65,66,40,39,26,27
"000:50:30.791","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.792","","","","","","TOTAL_ARENA_DISTANCES",38704,52067,36518,23792
"000:55:30.855","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.855","","","","","","ZONE_DISTANCES",15771,22813,28087,24096,11471,12464,18396,19709
"000:55:30.856","","","","","","ZONE_TIMERS",129.371,170.694,178.637,121.428,216.901,83.163,157.702,142.363
"000:55:30.857","","","","","","ZONE_COUNTERS",64,65,63,64,29,29,47,47
"000:55:30.857","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.858","","","","","","TOTAL_ARENA_DISTANCES",38585,52183,23935,38105
"001:00:30.931","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.932","","","","","","ZONE_DISTANCES",6667,6263,20058,27072,17635,17712,14450,19474
"001:00:30.932","","","","","","ZONE_TIMERS",256.346,43.729,115.357,184.718,152.177,147.898,104.724,195.351
"001:00:30.933","","","","","","ZONE_COUNTERS",16,17,54,54,41,42,44,44
