"000:00:00.000","Info","2019-10-11 03:44:08","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7321 a7646 a7180 a7214"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.532","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.532","","","","","","ZONE_DISTANCES",25012,31879,10491,22503,9545,17606,3521,3989
"000:35:30.533","","","","","","ZONE_TIMERS",115.386,184.622,92.087,207.921,72.669,227.339,215.552,84.456
"000:35:30.533","","","","","","ZONE_COUNTERS",56,56,26,26,23,22,6,6
"000:35:30.534","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.534","","","","","","TOTAL_ARENA_DISTANCES",56891,32993,27151,7510
"000:40:30.568","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.568","","","","","","ZONE_DISTANCES",6830,31030,18419,18524,4567,11960,781,2178
"000:40:30.569","","","","","","ZONE_TIMERS",29.501,270.533,161.120,138.915,26.846,273.189,27.915,272.119
"000:40:30.570","","","","","","ZONE_COUNTERS",21,21,40,40,11,11,11,11
"000:40:30.571","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.571","","","","","","TOTAL_ARENA_DISTANCES",37860,36944,16527,2959
"000:45:30.579","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.579","","","","","","ZONE_DISTANCES",17945,17810,8624,24171,6995,3661,834,2019
"000:45:30.580","","","","","","ZONE_TIMERS",264.052,35.958,64.395,235.616,261.265,38.745,94.349,205.661
"000:45:30.581","","","","","","ZONE_COUNTERS",36,36,44,44,8,8,2,3
"000:45:30.582","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.582","","","","","","TOTAL_ARENA_DISTANCES",35755,32794,10656,2853
"000:50:30.617","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.617","","","","","","ZONE_DISTANCES",6123,23814,24637,7857,4159,9928,1084,2105
"000:50:30.618","","","","","","ZONE_TIMERS",17.058,282.980,239.887,60.150,28.230,271.807,40.094,259.943
"000:50:30.619","","","","","","ZONE_COUNTERS",15,15,32,32,11,11,5,6
"000:50:30.619","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.619","","","","","","TOTAL_ARENA_DISTANCES",29936,32494,14087,3189
"000:55:30.627","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.627","","","","","","ZONE_DISTANCES",20092,19746,5161,22781,10155,4748,29,1452
"000:55:30.628","","","","","","ZONE_TIMERS",267.483,32.526,40.441,259.568,280.102,19.907,1.033,298.975
"000:55:30.628","","","","","","ZONE_COUNTERS",34,34,22,22,10,10,1,1
"000:55:30.629","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.629","","","","","","TOTAL_ARENA_DISTANCES",39838,27942,14904,1482
"001:00:30.666","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.666","","","","","","ZONE_DISTANCES",8742,33702,22163,2388,3203,5753,822,812
"001:00:30.667","","","","","","ZONE_TIMERS",30.556,269.482,289.768,10.270,16.988,283.051,236.720,63.318
"001:00:30.667","","","","","","ZONE_COUNTERS",20,20,21,21,9,9,4,3
"001:00:30.668","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
