"000:00:00.000","Info","2019-10-14 00:05:47","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7272 a7498 a7555 a7281"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.693","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.693","","","","","","ZONE_DISTANCES",7364,19075,1008,4648,0,9338,13031,16900
"000:35:30.694","","","","","","ZONE_TIMERS",72.547,227.516,14.510,285.554,0.000,300.064,126.760,173.304
"000:35:30.694","","","","","","ZONE_COUNTERS",30,31,6,6,0,1,50,50
"000:35:30.695","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.695","","","","","","TOTAL_ARENA_DISTANCES",26439,5656,9338,29932
"000:40:30.745","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.745","","","","","","ZONE_DISTANCES",3264,14881,107,1887,5773,5173,27385,5780
"000:40:30.746","","","","","","ZONE_TIMERS",36.126,263.925,1.583,298.468,160.456,139.595,246.696,53.355
"000:40:30.746","","","","","","ZONE_COUNTERS",21,22,1,2,16,17,36,36
"000:40:30.747","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.747","","","","","","TOTAL_ARENA_DISTANCES",18145,1993,10945,33165
"000:45:30.793","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.794","","","","","","ZONE_DISTANCES",15615,13927,0,2855,4279,3799,320,27280
"000:45:30.794","","","","","","ZONE_TIMERS",157.555,142.493,0.000,300.048,153.277,146.771,2.992,297.056
"000:45:30.795","","","","","","ZONE_COUNTERS",35,36,0,1,11,11,1,1
"000:45:30.795","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.796","","","","","","TOTAL_ARENA_DISTANCES",29542,2856,8078,27600
"000:50:30.850","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.851","","","","","","ZONE_DISTANCES",7021,15067,0,2224,4140,4340,24369,1146
"000:50:30.851","","","","","","ZONE_TIMERS",36.175,263.881,0.000,300.056,159.633,140.422,290.082,9.974
"000:50:30.852","","","","","","ZONE_COUNTERS",25,26,0,1,20,19,7,7
"000:50:30.852","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.853","","","","","","TOTAL_ARENA_DISTANCES",22088,2223,8480,25515
