"000:00:00.000","Info","2019-10-14 01:43:07","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7723 a6925 a6998 a7662"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.556","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.557","","","","","","ZONE_DISTANCES",6257,14431,617,10013,11409,11623,24179,27055
"000:35:30.557","","","","","","ZONE_TIMERS",62.245,237.819,29.079,270.985,150.566,149.498,136.754,163.310
"000:35:30.558","","","","","","ZONE_COUNTERS",23,22,7,7,36,36,59,59
"000:35:30.558","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.558","","","","","","TOTAL_ARENA_DISTANCES",20688,10629,23032,51234
"000:40:30.622","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.622","","","","","","ZONE_DISTANCES",7431,8117,4895,3723,8283,6498,8876,17668
"000:40:30.623","","","","","","ZONE_TIMERS",84.015,216.049,104.253,195.811,145.250,154.815,70.727,229.338
"000:40:30.623","","","","","","ZONE_COUNTERS",16,16,18,18,24,25,28,28
"000:40:30.624","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.624","","","","","","TOTAL_ARENA_DISTANCES",15548,8618,14781,26544
"000:45:30.684","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.685","","","","","","ZONE_DISTANCES",2313,3961,5905,4224,3623,5769,19235,17903
"000:45:30.685","","","","","","ZONE_TIMERS",42.972,257.090,243.798,56.263,88.890,211.171,151.643,148.418
"000:45:30.686","","","","","","ZONE_COUNTERS",9,10,18,18,18,19,48,49
"000:45:30.686","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.686","","","","","","TOTAL_ARENA_DISTANCES",6274,10129,9391,37137
"000:50:30.764","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.766","","","","","","ZONE_DISTANCES",8160,5019,4572,4663,3905,2848,10734,15835
"000:50:30.767","","","","","","ZONE_TIMERS",151.029,149.050,133.660,166.418,210.680,89.399,75.078,225.001
"000:50:30.768","","","","","","ZONE_COUNTERS",14,14,18,17,15,15,34,35
"000:50:30.770","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.771","","","","","","TOTAL_ARENA_DISTANCES",13179,9235,6753,26569
"000:55:30.841","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.841","","","","","","ZONE_DISTANCES",6570,4963,3428,3323,1586,2970,11861,16668
"000:55:30.842","","","","","","ZONE_TIMERS",203.801,96.275,133.371,166.705,59.782,240.294,118.032,182.044
"000:55:30.842","","","","","","ZONE_COUNTERS",13,12,12,11,12,12,39,40
"000:55:30.843","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.843","","","","","","TOTAL_ARENA_DISTANCES",11533,6751,4557,28529
"001:00:30.907","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.909","","","","","","ZONE_DISTANCES",6565,4873,4135,1941,3353,2545,7193,17528
"001:00:30.909","","","","","","ZONE_TIMERS",105.107,194.959,214.810,85.255,233.535,66.530,35.244,264.821
"001:00:30.910","","","","","","ZONE_COUNTERS",14,13,7,7,12,12,31,32
"001:00:30.910","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.911","","","","","","TOTAL_ARENA_DISTANCES",11438,6076,5898,24721
"001:00:30.965","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.966","","","","","","ZONE_DISTANCES",37296,41364,23552,27887,32159,32253,82078,112657
"001:00:30.966","","","","","","ZONE_TIMERS",649.179,1151.243,858.974,941.448,888.713,911.709,587.480,1212.942
"001:00:30.967","","","","","","ZONE_COUNTERS",86,85,76,77,116,115,238,239
"001:00:30.967","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.968","","","","","","TOTAL_ARENA_DISTANCES",78661,51438,64412,194735
