"000:00:00.000","Info","2019-10-15 01:35:31","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7006 a7658 a7549 a6798"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.537","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.538","","","","","","ZONE_DISTANCES",10459,19263,3552,19743,11105,25070,0,4180
"000:35:30.538","","","","","","ZONE_TIMERS",125.462,174.574,33.644,266.393,97.465,202.572,0.000,300.037
"000:35:30.539","","","","","","ZONE_COUNTERS",29,28,13,12,38,38,0,1
"000:35:30.539","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.540","","","","","","TOTAL_ARENA_DISTANCES",29722,23295,36175,4180
"000:40:30.548","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.549","","","","","","ZONE_DISTANCES",12005,22470,23472,15561,20485,18962,5115,3558
"000:40:30.550","","","","","","ZONE_TIMERS",122.514,177.495,171.647,128.362,146.805,153.204,257.680,42.329
"000:40:30.551","","","","","","ZONE_COUNTERS",33,32,45,45,36,35,9,10
"000:40:30.552","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.553","","","","","","TOTAL_ARENA_DISTANCES",34475,39033,39447,8673
"000:45:30.587","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.588","","","","","","ZONE_DISTANCES",4201,5055,6907,12262,15409,21605,3363,7577
"000:45:30.588","","","","","","ZONE_TIMERS",272.282,27.756,45.277,254.762,129.063,170.976,11.005,289.034
"000:45:30.589","","","","","","ZONE_COUNTERS",5,4,15,16,32,31,10,11
"000:45:30.589","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.590","","","","","","TOTAL_ARENA_DISTANCES",9256,19169,37013,10940
"000:50:30.598","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.598","","","","","","ZONE_DISTANCES",1536,13771,9054,8438,14152,22020,6878,13499
"000:50:30.599","","","","","","ZONE_TIMERS",15.351,284.658,67.844,232.165,111.637,188.372,64.625,235.385
"000:50:30.599","","","","","","ZONE_COUNTERS",8,8,19,20,31,31,19,20
"000:50:30.600","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.600","","","","","","TOTAL_ARENA_DISTANCES",15307,17492,36172,20377
"000:55:30.637","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.637","","","","","","ZONE_DISTANCES",6834,5898,12348,10782,25790,18487,964,6648
"000:55:30.638","","","","","","ZONE_TIMERS",277.843,22.195,188.266,111.772,170.869,129.169,5.601,294.438
"000:55:30.638","","","","","","ZONE_COUNTERS",12,12,24,24,40,40,3,4
"000:55:30.639","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.639","","","","","","TOTAL_ARENA_DISTANCES",12732,23130,44277,7611
"001:00:30.648","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.649","","","","","","ZONE_DISTANCES",8643,30348,5918,8485,13653,27955,5162,3675
"001:00:30.650","","","","","","ZONE_TIMERS",62.125,237.885,40.848,259.161,94.103,205.907,80.433,219.577
"001:00:30.651","","","","","","ZONE_COUNTERS",27,27,16,16,46,46,10,10
"001:00:30.652","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.653","","","","","","TOTAL_ARENA_DISTANCES",38992,14403,41608,8837
"001:00:30.733","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.734","","","","","","ZONE_DISTANCES",43678,96805,61251,75271,100594,134099,21482,39137
"001:00:30.734","","","","","","ZONE_TIMERS",875.579,924.577,547.529,1252.627,749.944,1050.212,419.355,1380.801
"001:00:30.735","","","","","","ZONE_COUNTERS",110,110,130,130,219,220,51,51
"001:00:30.735","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.735","","","","","","TOTAL_ARENA_DISTANCES",140483,136522,234693,60619
"001:03:02.416","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.416","","","","","","ZONE_DISTANCES",0,4844,0,9635,14,3697,0,683
"001:03:02.417","","","","","","ZONE_TIMERS",0.000,60.041,0.100,59.941,0.067,59.973,0.000,60.041
"001:03:02.417","","","","","","ZONE_COUNTERS",0,1,1,2,1,2,0,1
"001:03:02.418","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.418","","","","","","TOTAL_ARENA_DISTANCES",4845,9635,3711,683
"001:04:02.469","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.469","","","","","","ZONE_DISTANCES",1643,2803,6188,453,0,6,1263,1802
"001:04:02.470","","","","","","ZONE_TIMERS",6.196,53.857,57.058,2.995,0.000,60.053,9.042,51.011
"001:04:02.471","","","","","","ZONE_COUNTERS",4,5,5,5,0,1,3,4
"001:04:02.471","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.471","","","","","","TOTAL_ARENA_DISTANCES",4446,6641,6,3065
