"000:00:00.000","Info","2019-10-15 23:56:00","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7679 a6813 a7361 a7017"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.576","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.576","","","","","","ZONE_DISTANCES",13221,28041,18097,18220,12793,24322,16078,15815
"000:35:30.577","","","","","","ZONE_TIMERS",64.261,235.740,149.215,150.787,95.650,204.351,152.659,147.342
"000:35:30.577","","","","","","ZONE_COUNTERS",38,39,47,47,47,47,46,45
"000:35:30.578","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.578","","","","","","TOTAL_ARENA_DISTANCES",41262,36317,37115,31893
"000:40:30.585","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.586","","","","","","ZONE_DISTANCES",33406,25511,938,1582,7263,7981,11102,12575
"000:40:30.587","","","","","","ZONE_TIMERS",160.461,139.548,2.583,297.425,40.734,259.275,128.911,171.098
"000:40:30.587","","","","","","ZONE_COUNTERS",71,71,2,3,16,16,30,29
"000:40:30.587","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.588","","","","","","TOTAL_ARENA_DISTANCES",58917,2520,15244,23677
"000:45:30.626","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.626","","","","","","ZONE_DISTANCES",28523,24992,1531,1729,1238,8814,13337,11396
"000:45:30.627","","","","","","ZONE_TIMERS",162.167,137.872,67.246,232.793,9.586,290.453,169.743,130.296
"000:45:30.627","","","","","","ZONE_COUNTERS",66,66,4,4,4,4,29,29
"000:45:30.628","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.628","","","","","","TOTAL_ARENA_DISTANCES",53515,3259,10052,24733
"000:50:30.636","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.636","","","","","","ZONE_DISTANCES",23736,14304,5779,7760,9322,1748,10170,10795
"000:50:30.637","","","","","","ZONE_TIMERS",210.912,89.096,50.517,249.491,287.529,12.480,161.094,138.915
"000:50:30.637","","","","","","ZONE_COUNTERS",45,45,14,14,7,7,24,25
"000:50:30.638","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.638","","","","","","TOTAL_ARENA_DISTANCES",38040,13539,11071,20965
"000:55:30.681","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.683","","","","","","ZONE_DISTANCES",25746,21571,4786,3803,2269,11995,5140,3094
"000:55:30.685","","","","","","ZONE_TIMERS",171.018,129.027,205.523,94.521,28.787,271.257,285.523,14.521
"000:55:30.686","","","","","","ZONE_COUNTERS",61,61,9,10,8,8,8,8
"000:55:30.688","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.689","","","","","","TOTAL_ARENA_DISTANCES",47316,8589,14264,8234
"001:00:30.738","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.740","","","","","","ZONE_DISTANCES",27624,16040,3852,4182,18190,6766,8693,20369
"001:00:30.741","","","","","","ZONE_TIMERS",190.560,109.496,25.668,274.388,261.055,39.000,24.731,275.325
"001:00:30.743","","","","","","ZONE_COUNTERS",50,51,8,9,20,20,25,25
"001:00:30.744","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.746","","","","","","TOTAL_ARENA_DISTANCES",43665,8034,24956,29062
"001:00:30.831","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.833","","","","","","ZONE_DISTANCES",152256,130459,34983,37276,51075,61626,64520,74044
"001:00:30.835","","","","","","ZONE_TIMERS",959.382,840.795,500.756,1299.421,723.357,1076.820,922.663,877.514
"001:00:30.836","","","","","","ZONE_COUNTERS",329,330,83,83,100,99,159,159
"001:00:30.838","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.839","","","","","","TOTAL_ARENA_DISTANCES",282716,72259,112701,138563
"001:03:02.592","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.593","","","","","","ZONE_DISTANCES",5248,6478,1371,2784,488,4515,0,5018
"001:03:02.593","","","","","","ZONE_TIMERS",20.964,39.088,3.835,56.218,4.440,55.612,0.000,60.053
"001:03:02.594","","","","","","ZONE_COUNTERS",17,17,6,7,5,6,0,1
"001:03:02.595","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.595","","","","","","TOTAL_ARENA_DISTANCES",11726,4154,5002,5017
"001:04:02.640","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.640","","","","","","ZONE_DISTANCES",6416,3406,757,836,6885,834,4246,451
"001:04:02.641","","","","","","ZONE_TIMERS",40.795,19.251,42.043,18.003,53.246,6.800,54.995,5.051
"001:04:02.641","","","","","","ZONE_COUNTERS",12,12,2,2,4,4,2,2
"001:04:02.642","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.642","","","","","","TOTAL_ARENA_DISTANCES",9821,1594,7719,4697
"001:05:02.697","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:02.698","","","","","","ZONE_DISTANCES",4594,5513,2312,2526,2040,5413,285,4121
"001:05:02.699","","","","","","ZONE_TIMERS",26.249,33.808,14.806,45.251,14.466,45.591,3.660,56.396
"001:05:02.699","","","","","","ZONE_COUNTERS",13,14,6,6,8,8,1,1
"001:05:02.700","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.700","","","","","","TOTAL_ARENA_DISTANCES",10107,4837,7453,4406
"001:06:02.757","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:02.758","","","","","","ZONE_DISTANCES",6579,2199,2471,2182,5668,2904,4324,388
"001:06:02.759","","","","","","ZONE_TIMERS",46.309,13.750,39.523,20.536,40.792,19.266,55.839,4.220
"001:06:02.759","","","","","","ZONE_COUNTERS",9,9,5,5,9,9,1,1
"001:06:02.760","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.760","","","","","","TOTAL_ARENA_DISTANCES",8778,4653,8572,4712
"001:07:02.823","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:02.823","","","","","","ZONE_DISTANCES",4788,4815,2086,2633,1069,3114,433,4163
"001:07:02.824","","","","","","ZONE_TIMERS",30.480,29.585,10.697,49.368,6.606,53.459,1.907,58.158
"001:07:02.825","","","","","","ZONE_COUNTERS",14,13,6,6,4,4,1,1
"001:07:02.825","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.825","","","","","","TOTAL_ARENA_DISTANCES",9603,4720,4183,4596
"001:07:02.921","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:02.922","","","","","","ZONE_DISTANCES",27625,22411,8997,10961,16150,16780,9288,14141
"001:07:02.923","","","","","","ZONE_TIMERS",164.799,135.484,110.905,189.378,119.553,180.730,116.404,183.879
"001:07:02.923","","","","","","ZONE_COUNTERS",63,63,23,24,28,29,3,4
"001:07:02.924","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.924","","","","","","TOTAL_ARENA_DISTANCES",50036,19958,32930,23428
"001:07:02.925","Info","2019-10-16 01:03:03","Service 'BLUGRE' : Execution end"
