"000:00:00.000","Info","2019-10-16 02:46:22","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7325 a7160 a7091 a7045"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.562","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.562","","","","","","ZONE_DISTANCES",6009,7995,2107,3407,32926,37456,6590,18730
"000:35:30.563","","","","","","ZONE_TIMERS",38.398,261.645,52.700,247.343,151.440,148.603,65.235,234.808
"000:35:30.564","","","","","","ZONE_COUNTERS",17,18,6,6,82,83,29,29
"000:35:30.564","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.565","","","","","","TOTAL_ARENA_DISTANCES",14004,5514,70382,25320
"000:40:30.641","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.641","","","","","","ZONE_DISTANCES",9165,11941,5672,303,6016,9752,6036,8917
"000:40:30.642","","","","","","ZONE_TIMERS",113.010,187.068,294.392,5.686,24.022,276.056,111.621,188.457
"000:40:30.643","","","","","","ZONE_COUNTERS",27,28,3,3,16,17,20,21
"000:40:30.643","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.644","","","","","","TOTAL_ARENA_DISTANCES",21106,5975,15768,14953
"000:45:30.739","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.740","","","","","","ZONE_DISTANCES",7701,8556,412,5517,10242,10981,1848,11087
"000:45:30.742","","","","","","ZONE_TIMERS",83.218,216.879,2.839,297.258,255.838,44.259,23.347,276.750
"000:45:30.743","","","","","","ZONE_COUNTERS",21,22,1,1,30,30,10,11
"000:45:30.744","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.744","","","","","","TOTAL_ARENA_DISTANCES",16257,5930,21223,12935
"000:50:30.835","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.836","","","","","","ZONE_DISTANCES",1031,1642,3020,218,5190,5674,7462,6115
"000:50:30.836","","","","","","ZONE_TIMERS",42.181,257.915,299.111,0.984,99.979,200.116,133.865,166.231
"000:50:30.837","","","","","","ZONE_COUNTERS",5,6,1,1,13,13,21,21
"000:50:30.838","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.838","","","","","","TOTAL_ARENA_DISTANCES",2673,3238,10864,13577
