"000:00:00.000","Info","2019-10-17 01:43:33","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6843 a7492 a8045 a7696"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.665","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.666","","","","","","ZONE_DISTANCES",4946,11734,3052,18119,22266,23511,11320,14133
"000:35:30.666","","","","","","ZONE_TIMERS",52.849,247.216,23.766,276.299,138.197,161.868,122.849,177.216
"000:35:30.666","","","","","","ZONE_COUNTERS",15,16,9,10,55,55,36,35
"000:35:30.667","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.667","","","","","","TOTAL_ARENA_DISTANCES",16681,21171,45778,25454
"000:40:30.749","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.750","","","","","","ZONE_DISTANCES",4654,6477,12411,435,21825,22511,11322,12733
"000:40:30.750","","","","","","ZONE_TIMERS",98.365,201.718,296.953,3.130,141.157,158.926,103.704,196.379
"000:40:30.750","","","","","","ZONE_COUNTERS",16,17,3,3,42,42,33,33
"000:40:30.751","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.751","","","","","","TOTAL_ARENA_DISTANCES",11130,12846,44336,24055
"000:45:30.829","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.829","","","","","","ZONE_DISTANCES",1145,4792,2894,14355,14002,21709,8867,8789
"000:45:30.829","","","","","","ZONE_TIMERS",15.675,284.403,16.940,283.139,106.315,193.764,231.678,68.400
"000:45:30.830","","","","","","ZONE_COUNTERS",6,7,11,11,40,40,22,23
"000:45:30.830","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.830","","","","","","TOTAL_ARENA_DISTANCES",5938,17249,35711,17656
"000:50:30.884","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.885","","","","","","ZONE_DISTANCES",1957,3645,14463,5731,19511,16856,6823,7794
"000:50:30.885","","","","","","ZONE_TIMERS",37.810,262.245,265.204,34.851,163.072,136.983,72.785,227.270
"000:50:30.885","","","","","","ZONE_COUNTERS",6,7,14,14,38,39,17,18
"000:50:30.886","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.886","","","","","","TOTAL_ARENA_DISTANCES",5602,20194,36367,14617
"000:55:30.960","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.961","","","","","","ZONE_DISTANCES",529,3924,3396,13390,12198,22753,5555,6579
"000:55:30.961","","","","","","ZONE_TIMERS",14.587,285.488,19.317,280.758,88.700,211.375,86.452,213.623
"000:55:30.962","","","","","","ZONE_COUNTERS",6,7,11,11,35,36,14,15
"000:55:30.962","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.962","","","","","","TOTAL_ARENA_DISTANCES",4453,16786,34952,12134
"001:00:31.037","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.037","","","","","","ZONE_DISTANCES",772,3234,8422,2761,16963,19982,5992,6796
"001:00:31.038","","","","","","ZONE_TIMERS",20.992,279.083,283.967,16.109,129.245,170.831,127.901,172.175
"001:00:31.038","","","","","","ZONE_COUNTERS",4,5,8,8,36,36,16,16
"001:00:31.039","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.039","","","","","","TOTAL_ARENA_DISTANCES",4006,11182,36945,12788
