"000:00:00.000","Info","2019-10-17 03:10:47","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7184 a6930 a7737 a7578"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.608","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.609","","","","","","ZONE_DISTANCES",17342,17316,11230,19136,17194,26198,1171,3722
"000:35:30.610","","","","","","ZONE_TIMERS",195.382,104.670,106.053,193.999,108.806,191.246,242.309,57.743
"000:35:30.610","","","","","","ZONE_COUNTERS",38,37,29,28,40,41,5,4
"000:35:30.611","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.611","","","","","","TOTAL_ARENA_DISTANCES",34657,30366,43392,4893
"000:40:30.672","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.673","","","","","","ZONE_DISTANCES",2393,3612,9074,18476,9075,16659,405,0
"000:40:30.673","","","","","","ZONE_TIMERS",151.516,148.547,84.874,215.188,62.772,237.291,300.063,0.000
"000:40:30.674","","","","","","ZONE_COUNTERS",11,10,24,24,18,18,1,0
"000:40:30.674","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.675","","","","","","TOTAL_ARENA_DISTANCES",6006,27550,25735,405
"000:45:30.769","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.770","","","","","","ZONE_DISTANCES",5204,5002,12111,15913,4068,3002,966,1596
"000:45:30.772","","","","","","ZONE_TIMERS",193.193,106.903,134.102,165.994,38.217,261.879,158.209,141.886
"000:45:30.773","","","","","","ZONE_COUNTERS",14,13,41,42,7,7,5,5
"000:45:30.774","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.774","","","","","","TOTAL_ARENA_DISTANCES",10206,28024,7070,2563
"000:50:30.857","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.857","","","","","","ZONE_DISTANCES",4355,5270,10287,15074,4125,5501,2242,5990
"000:50:30.858","","","","","","ZONE_TIMERS",156.412,143.675,92.001,208.086,14.307,285.780,14.048,286.039
"000:50:30.858","","","","","","ZONE_COUNTERS",15,14,45,45,9,10,9,10
"000:50:30.859","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.859","","","","","","TOTAL_ARENA_DISTANCES",9625,25360,9626,8232
"000:55:30.944","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.945","","","","","","ZONE_DISTANCES",5733,4774,8726,4564,7999,7570,5916,10050
"000:55:30.945","","","","","","ZONE_TIMERS",115.011,185.075,262.459,37.627,217.011,83.076,72.225,227.861
"000:55:30.946","","","","","","ZONE_COUNTERS",13,13,14,14,18,19,20,21
"000:55:30.947","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.947","","","","","","TOTAL_ARENA_DISTANCES",10507,13290,15568,15967
"001:00:31.021","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.021","","","","","","ZONE_DISTANCES",3467,4359,4446,9168,6109,8124,5017,8144
"001:00:31.022","","","","","","ZONE_TIMERS",113.907,186.169,49.141,250.935,23.242,276.834,49.607,250.469
