"000:00:00.000","Info","2019-10-17 00:05:17","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7138 a6799 a8057 a7608"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.768","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.768","","","","","","ZONE_DISTANCES",13624,19983,3234,2269,3992,5009,10184,14184
"000:35:30.769","","","","","","ZONE_TIMERS",127.676,172.379,187.204,112.852,97.315,202.741,128.282,171.774
"000:35:30.769","","","","","","ZONE_COUNTERS",50,50,5,5,18,18,31,32
"000:35:30.770","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.770","","","","","","TOTAL_ARENA_DISTANCES",33607,5503,9001,24368
"000:40:30.829","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.830","","","","","","ZONE_DISTANCES",16752,21531,0,170,1133,584,5401,8363
"000:40:30.830","","","","","","ZONE_TIMERS",122.804,177.256,0.000,300.061,295.064,4.996,191.414,108.646
"000:40:30.831","","","","","","ZONE_COUNTERS",40,41,0,1,3,2,12,12
"000:40:30.831","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.832","","","","","","TOTAL_ARENA_DISTANCES",38283,170,1718,13764
"000:45:30.900","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.901","","","","","","ZONE_DISTANCES",12055,25646,0,304,1739,573,14561,16634
"000:45:30.902","","","","","","ZONE_TIMERS",80.169,219.901,0.000,300.071,201.727,98.343,164.154,135.917
