"000:00:00.000","Info","2019-10-17 00:09:50","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7728 a6891 a7439 a7358"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.532","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.534","","","","","","ZONE_DISTANCES",6772,22482,16513,18123,4720,7869,1539,11330
"000:35:30.536","","","","","","ZONE_TIMERS",54.639,245.362,123.272,176.729,120.617,179.385,10.975,289.026
"000:35:30.537","","","","","","ZONE_COUNTERS",28,28,38,37,16,17,9,10
"000:35:30.539","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.540","","","","","","TOTAL_ARENA_DISTANCES",29254,34636,12589,12869
"000:40:30.572","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.573","","","","","","ZONE_DISTANCES",4819,17002,15594,16506,1945,6658,5943,8396
"000:40:30.573","","","","","","ZONE_TIMERS",33.131,266.908,132.559,167.480,28.771,271.268,212.658,87.382
"000:40:30.574","","","","","","ZONE_COUNTERS",19,19,42,42,10,11,14,15
"000:40:30.575","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.575","","","","","","TOTAL_ARENA_DISTANCES",21820,32100,8603,14339
"000:45:30.613","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.614","","","","","","ZONE_DISTANCES",7623,12365,7727,12614,2610,7381,2520,6686
"000:45:30.615","","","","","","ZONE_TIMERS",210.595,89.445,87.010,213.030,87.247,212.793,15.960,284.081
"000:45:30.616","","","","","","ZONE_COUNTERS",17,17,25,26,13,13,9,9
"000:45:30.617","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.618","","","","","","TOTAL_ARENA_DISTANCES",19989,20341,9991,9206
"000:50:30.652","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.653","","","","","","ZONE_DISTANCES",5304,11034,9800,12105,3239,5062,11171,15107
"000:50:30.655","","","","","","ZONE_TIMERS",59.921,240.116,129.112,170.926,133.350,166.688,124.630,175.407
"000:50:30.656","","","","","","ZONE_COUNTERS",11,12,28,29,12,12,30,30
"000:50:30.657","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.658","","","","","","TOTAL_ARENA_DISTANCES",16337,21905,8301,26278
"000:55:30.697","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.698","","","","","","ZONE_DISTANCES",10585,13108,12485,19406,3504,7701,10106,16503
"000:55:30.699","","","","","","ZONE_TIMERS",220.838,79.206,96.120,203.924,83.427,216.617,83.626,216.418
"000:55:30.700","","","","","","ZONE_COUNTERS",22,23,31,32,13,14,28,28
"000:55:30.701","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.702","","","","","","TOTAL_ARENA_DISTANCES",23693,31891,11205,26609
"001:00:30.736","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.736","","","","","","ZONE_DISTANCES",4284,10198,18248,17091,2950,6159,12658,12988
"001:00:30.737","","","","","","ZONE_TIMERS",37.132,262.905,162.392,137.645,44.153,255.885,200.592,99.446
"001:00:30.738","","","","","","ZONE_COUNTERS",12,12,31,31,9,10,33,32
"001:00:30.739","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.739","","","","","","TOTAL_ARENA_DISTANCES",14482,35339,9110,25646
"001:00:30.823","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.824","","","","","","ZONE_DISTANCES",39387,86189,80367,95845,18968,40830,43937,71010
"001:00:30.825","","","","","","ZONE_TIMERS",616.267,1183.946,730.476,1069.737,497.568,1302.646,648.451,1151.762
"001:00:30.826","","","","","","ZONE_COUNTERS",108,107,194,193,72,73,121,121
"001:00:30.826","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.827","","","","","","TOTAL_ARENA_DISTANCES",125576,176212,59799,114948
"001:03:02.405","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.406","","","","","","ZONE_DISTANCES",1834,2988,921,5218,257,40,3110,6375
"001:03:02.407","","","","","","ZONE_TIMERS",28.537,31.513,5.468,54.582,16.685,43.365,21.579,38.471
"001:03:02.408","","","","","","ZONE_COUNTERS",5,4,5,6,1,1,17,17
"001:03:02.409","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.410","","","","","","TOTAL_ARENA_DISTANCES",4822,6139,296,9485
"001:04:02.469","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
