"000:00:00.000","Info","2019-10-17 00:05:45","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a8062 a7061 a7409 a7562"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.778","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.779","","","","","","ZONE_DISTANCES",3993,3045,5199,5426,5707,12208,3766,11413
"000:35:30.779","","","","","","ZONE_TIMERS",66.676,233.383,132.739,167.320,93.939,206.120,36.333,263.726
"000:35:30.780","","","","","","ZONE_COUNTERS",9,9,15,15,22,23,11,12
"000:35:30.780","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.780","","","","","","TOTAL_ARENA_DISTANCES",7038,10625,17915,15178
"000:40:30.855","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.855","","","","","","ZONE_DISTANCES",1475,3272,6626,7978,11107,3672,9261,10855
"000:40:30.856","","","","","","ZONE_TIMERS",10.986,289.090,76.565,223.511,215.067,85.009,130.489,169.587
"000:40:30.856","","","","","","ZONE_COUNTERS",5,6,19,20,16,16,24,25
"000:40:30.857","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.857","","","","","","TOTAL_ARENA_DISTANCES",4748,14604,14778,20117
"000:45:30.926","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.926","","","","","","ZONE_DISTANCES",8279,12379,7131,7057,4090,10882,5170,9141
"000:45:30.927","","","","","","ZONE_TIMERS",93.156,206.914,166.335,133.735,38.414,261.656,61.182,238.888
"000:45:30.927","","","","","","ZONE_COUNTERS",21,22,16,16,15,15,15,16
"000:45:30.928","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.928","","","","","","TOTAL_ARENA_DISTANCES",20658,14188,14972,14310
"000:50:31.003","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:31.004","","","","","","ZONE_DISTANCES",2612,7086,4110,7424,11666,3779,9134,9624
"000:50:31.004","","","","","","ZONE_TIMERS",17.058,283.018,42.919,257.157,259.677,40.400,119.278,180.798
"000:50:31.005","","","","","","ZONE_COUNTERS",6,7,11,11,18,18,22,23
"000:50:31.005","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
