"","Time","Video_ID","Arena","Day","Camera","Session","Tank","Group","Mark","Sex","Fish_ID","Date","Notes","tot_dist","mean_speed","freeze.Not.Moving...center.point.Frequency","freeze.Not.Moving...center.point.Cumulative.Duration.s","in_det_zone.5.10cm...center.point.Frequency","in_det_zone.5.10cm...center.point.Cumulative.Duration.s","in_det_zone.0.5cm...center.point.Frequency","zone_05_dur","in_det_zone.20.25cm...center.point.Frequency","in_det_zone.20.25cm...center.point.Cumulative.Duration.s","in_det_zone.15.20cm...center.point.Frequency","in_det_zone.15.20cm...center.point.Cumulative.Duration.s","in_det_zone.30.35cm...center.point.Frequency","in_det_zone.30.35cm...center.point.Cumulative.Duration.s","in_det_zone.10.15cm...center.point.Frequency","in_det_zone.10.15cm...center.point.Cumulative.Duration.s","in_det_zone.35.40cm...center.point.Frequency","in_det_zone.35.40cm...center.point.Cumulative.Duration.s","in_det_zone.25.30cm...center.point.Frequency","in_det_zone.25.30cm...center.point.Cumulative.Duration.s","in_zone.Near...center.point.Frequency","in_zone.Near...center.point.Cumulative.Duration.s","in_zone.Middle...center.point.Frequency","in_zone.Middle...center.point.Cumulative.Duration.s","in_zone.Far...center.point.Frequency","in_zone.Far...center.point.Cumulative.Duration.s","risk_3.Arena...center.point.Cumulative.Duration.s","move.Moving...center.point.Cumulative.Duration.s","Stim1","Stim1.1","Phase_1","Phase_2"
"1","15-18","1.1",1,"Wednesday",1,1,"HA_T2","Treatment","Gre.Whi","male","a6833","","",2051.26,11.406,1,0.08,52,71.5198,26,22.5599,37,9.91998,38,13.36,27,22.9599,45,25.2799,9,2.95999,36,11.28,21,114.4,38,31.7599,18,33.6799,179.84,176.32,"Dots 1","Shoal 1","Negative","Positive"
"2","15-18","1.2",2,"Wednesday",1,1,"HA_T2","Treatment","Gre.Blu","female","a7684","","",1442.63,8.02175,0,0,49,32.0799,28,80.8798,22,9.91997,28,12.72,19,11.12,36,18.32,9,5.59998,20,9.19998,17,125.36,28,31.5199,10,22.9599,179.84,175.04,"Shoal 2","Dots 2","Positive","Negative"
"3","15-18","1.3",3,"Wednesday",1,1,"HA_T2","Treatment","Pur._","male","a7167","","",1872.09,10.4098,0,0,28,16.48,10,11.52,48,14.48,46,16.72,43,72.9598,41,17.04,9,3.43999,58,27.1999,20,39.7599,46,43.1999,27,96.8798,179.84,174.72,"Dots 3","Big zf 1","Negative","Positive"
"4","15-18","1.4",4,"Wednesday",1,1,"HA_T2","Treatment","Red.Pur","female","a7222","","",1420.97,7.90131,3,0.639998,37,30.4799,22,32.3999,24,12.32,29,18,30,27.9999,32,17.28,18,28.4799,23,12.88,16,73.3598,28,40.7999,13,65.6798,179.84,169.28,"Big zf 2","Dots 4","Positive","Negative"
"5","15-18","2.1",5,"Wednesday",2,1,"HA_T2","Treatment","Ora.Pur","female","a8071","","",933.566,5.18649,2,0.159999,26,14.56,18,150.72,4,1.6,5,2.79999,1,1.28,11,7.67998,0,0,3,1.36,8,171.44,7,6.63998,1,1.76,180,156.72,"Leaf fish 1","Shoal 3","Negative","Positive"
"6","15-18","2.2",6,"Wednesday",2,1,"HA_T2","Treatment","Blu.Ora","female","a6883","","",1617.09,8.98383,1,0.08,35,28.1599,26,109.84,18,4.79998,17,4.71999,19,13.44,18,5.99998,10,7.59998,18,5.43999,9,142.24,17,12.96,9,24.7999,180,171.04,"Shoal 4","Leaf fish 2","Positive","Negative"
"7","15-18","2.3",7,"Wednesday",2,1,"HA_T2","Treatment","Pin.Blu","female","a7288","","",1452.63,8.07019,0,0,58,55.1999,30,41.2799,25,11.28,32,18.64,13,12.8,46,26.8799,1,0.879998,23,13.04,24,115.92,36,41.5999,13,22.4799,180,178.56,"Leaf fish 3","Big zf 3","Negative","Positive"
"8","15-18","2.4",8,"Wednesday",2,1,"HA_T2","Treatment","Whi._","female","a8050","","",860.405,4.78004,1,0.08,40,49.0399,29,93.2798,5,2.87999,8,8.07998,5,3.99999,17,14.8,3,4.31999,5,3.59999,6,153.84,8,15.36,3,10.8,180,172.8,"Big zf 10 (not 4)","Leaf fish 4","Positive","Negative"
"9","15-18","1.1",1,"Wednesday",1,2,"HA_T2","Treatment","Yel.Gre","female","a8067","","",1277.45,7.09699,1,0.08,36,40.7999,35,138.4,0,0,0,0,0,0,1,0.799998,0,0,0,0,1,180,0,0,0,0,180,166,"Dots 1","Shoal 1","Negative","Positive"
"10","15-18","1.2",2,"Wednesday",1,2,"HA_T2","Treatment","Red.Red","male","a7570","","",752.844,4.18248,2,0.479999,26,21.8399,22,152.24,1,1.04,2,0.799998,0,0,6,4.07999,0,0,0,0,3,177.28,2,2.71999,0,0,180,155.6,"Shoal 2","Dots 2","Positive","Negative"
