Time,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,Phase1,Phase2,Phase3,Phase4,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
6-Sep,Monday,29/07/2019,A,1,male,Ora.Bla,1,1,HA_C1,Control,a7403,,Social,Novel,Aggression,Predator,788.247,4.37926,4.29466,9663,0.079998,9.59976,167.916,0.479988,0.719982,0,1.27997,0,0,178.556,1.43996,0,179.995,146.156
6-Sep,Monday,29/07/2019,A,1,female,Blu.Blu,2,1,HA_C1,Control,a7659,,Social,Novel,Aggression,Predator,1091.19,6.06233,5.20179,11704,0,24.1594,138.557,1.43996,2.55994,0.639984,11.7597,0,0.879978,170.876,7.9198,1.19997,179.995,163.036
6-Sep,Monday,29/07/2019,A,1,male,Red.Yel,3,1,HA_C1,Control,a7563,,Social,Novel,Aggression,Predator,1275.8,7.08798,5.90489,13286,0.239994,43.5189,114.637,3.19992,3.9199,2.23994,8.87978,0,3.59991,164.796,11.1997,3.9999,179.995,168.796
6-Sep,Monday,29/07/2019,A,1,female,Ora.Ora,4,1,HA_T1,Treatment,a7379,,Social,Novel,Aggression,Predator,639.756,3.55429,4.25505,9573.87,0.39999,6.23984,172.156,0,0,0,1.59996,0,0,179.995,0,0,179.995,129.917
6-Sep,Monday,29/07/2019,A,1,male,Pin.Bro,5,1,HA_T1,Treatment,a7191,,Social,Novel,Aggression,Predator,1472.88,8.18286,7.66762,17252.2,0.079998,67.1983,66.9583,8.23979,9.11977,2.31994,22.7194,0,3.43991,151.436,24.0794,4.47989,179.995,173.436
6-Sep,Monday,29/07/2019,A,1,male,Ora.Bro,6,1,HA_C2,Control,a6967,,Social,Novel,Aggression,Predator,851.536,4.73088,5.63183,12671.6,0.719982,9.99975,148.716,3.59991,3.35992,4.31989,5.59986,0.959976,3.43991,162.796,9.43976,7.75981,179.995,135.437
6-Sep,Monday,29/07/2019,A,1,male,Pin.Yel,7,1,HA_C2,Control,a6847,,Social,Novel,Aggression,Predator,791.423,4.3969,8.55651,19252.1,0.479988,12.9597,129.677,2.87993,4.47989,11.3597,6.31984,5.91985,6.39984,147.116,11.3597,21.5195,179.995,147.436
6-Sep,Monday,29/07/2019,A,1,male,Ora.Yel,8,1,HA_C2,Control,a7153,,Social,Novel,Aggression,Predator,633.437,3.51918,4.0377,9084.82,0.319992,5.67986,168.636,0.79998,0.79998,0.879978,1.99995,0,1.19997,175.996,2.31994,1.67996,179.995,116.397
6-Sep,Monday,29/07/2019,A,1,female,Red.Pur,9,1,HA_T2,Treatment,a7222,,Social,Novel,Aggression,Predator,486.439,2.70251,3.85584,8675.63,0.79998,5.35987,174.076,0,0,0,0.559986,0,0,179.995,0,0,179.995,115.117
6-Sep,Monday,29/07/2019,A,1,female,Whi._,11,1,HA_T2,Treatment,a8050,"RE-RUN, Covers fell down towards end, may exclude",Social,Novel,Aggression,Predator,1885.12,10.4731,8.37679,18847.8,9.03977,37.1991,94.5576,9.43976,14.1596,1.67996,18.1595,0,4.79988,144.316,31.5192,4.1599,179.995,162.156
6-Sep,Tuesday,30/07/2019,A,1,male,Bro.Ora,1,1,HA_C3,Control,a7361,,Social,Novel,Aggression,Predator,1639.29,9.10737,6.63405,14926.6,0.079998,24.3994,126.317,2.95993,5.99985,2.15995,13.5197,1.27997,3.35992,161.036,13.0397,5.91985,179.995,165.836
6-Sep,Tuesday,30/07/2019,A,1,male,Red._,2,1,HA_C3,Control,a7611,,Social,Novel,Aggression,Predator,1111.31,6.17411,5.00468,11260.5,0.479988,8.79978,155.676,1.75996,5.11987,1.35997,5.19987,0.639984,1.43996,167.836,9.19977,2.95993,179.995,147.116
6-Sep,Tuesday,30/07/2019,A,1,female,Whi.Pin,3,1,HA_C3,Control,a7232,,Social,Novel,Aggression,Predator,448.145,2.48976,5.18234,11660.3,56.7986,5.35987,172.476,0,0,0,2.15995,0,0,179.995,0,0,179.995,81.838
6-Sep,Tuesday,30/07/2019,A,1,female,Pur.Gre,4,1,HA_T3,Treatment,a7160,,Social,Novel,Aggression,Predator,545.214,3.02904,10.5855,23817.4,2.39994,0.319992,135.997,1.11997,0.39999,7.59981,0.319992,32.4792,1.75996,136.477,2.07995,41.439,179.995,104.397
6-Sep,Tuesday,30/07/2019,A,1,female,_.Blu,5,1,HA_T3,Treatment,a7459,,Social,Novel,Aggression,Predator,426.284,2.3683,3.02467,6805.51,1.99995,0.239994,179.756,0,0,0,0,0,0,179.995,0,0,179.995,97.6776
6-Sep,Tuesday,30/07/2019,A,1,female,Gre.Yel,6,1,HA_C4,Control,a6971,,Social,Novel,Aggression,Predator,656.863,3.64933,3.85426,8672.08,0.719982,2.31994,177.676,0,0,0,0,0,0,179.995,0,0,179.995,137.917
6-Sep,Tuesday,30/07/2019,A,1,male,_.Yel,7,1,HA_C4,Control,a6807,,Social,Novel,Aggression,Predator,605.775,3.3655,3.71282,8353.85,1.19997,17.5996,156.236,0.79998,1.43996,0,2.95993,0,0.959976,175.516,3.8399,0.639984,179.995,126.317
6-Sep,Tuesday,30/07/2019,A,1,female,Pur.Red,8,1,HA_C4,Control,a7578,,Social,Novel,Aggression,Predator,477.483,2.65275,3.54658,7979.79,2.55994,0,179.995,0,0,0,0,0,0,179.995,0,0,179.995,105.917
6-Sep,Tuesday,30/07/2019,A,1,male,Bro.Yel,9,1,HA_T4,Treatment,a7728,,Social,Novel,Aggression,Predator,1067.78,5.93224,7.47264,16813.4,0.159996,13.1197,133.117,6.47984,6.95983,4.87988,7.43981,1.03997,6.95983,150.956,18.8795,10.1597,179.995,156.636
6-Sep,Tuesday,30/07/2019,A,1,male,Bla.Pin,10,1,HA_T4,Treatment,a7138,,Social,Novel,Aggression,Predator,2232.03,12.4005,9.94967,22386.8,0,25.4394,87.1978,13.9996,12.4797,9.51976,17.7596,0,13.5997,125.197,37.1191,17.6796,179.995,172.236
13-16,Monday,29/07/2019,A,1,male,Ora.Bla,1,1,HA_C1,Control,a7403,,Social,Novel,Aggression,Predator,1735.02,9.63923,15.3777,34599.8,0.079998,39.679,49.1188,8.39979,8.95978,23.7594,17.9995,22.5594,9.51976,102.397,24.3994,53.1987,179.995,171.836
13-16,Monday,29/07/2019,A,1,female,Blu.Blu,2,1,HA_C1,Control,a7659,,Social,Novel,Aggression,Predator,1696.81,9.42696,19.3492,43535.7,0,0.559986,0,39.039,57.8386,16.3996,31.5192,5.19987,29.4393,9.19977,129.917,40.879,179.995,177.676
13-16,Monday,29/07/2019,A,1,male,Red.Yel,3,1,HA_C1,Control,a7563,,Social,Novel,Aggression,Predator,1516.06,8.42274,14.9184,33566.3,0,33.0392,47.1188,17.1996,19.1195,15.1196,20.8795,14.8796,12.6397,93.8377,48.6388,37.5191,179.995,173.756
13-16,Monday,29/07/2019,A,1,female,Ora.Ora,4,1,HA_T1,Treatment,a7379,,Social,Novel,Aggression,Predator,1965.5,10.9197,16.3367,36757.7,0,35.5191,24.2394,19.5995,18.8795,23.4394,31.7592,9.99975,16.5596,84.0779,51.1187,44.7989,179.995,174.156
