Phase,Day,Date,Video_ID,Arena,Sex,Mark,Session,Camera,Origin,ID,Group,Notes,Phase_1,Phase_2,Phase_3,Phase_4,dist center-point Mean cm,dist center-point Total cm,speed center-point Mean cm/s,speed center-point Total cm/s,dist_stim 0-5cm (Center) / center-point Mean cm,dist_stim 0-5cm (Center) / center-point Total cm,freeze Not Moving / center-point Mean s,freeze Not Moving / center-point Frequency,freeze Not Moving / center-point Cumulative Duration s,freeze Not Moving / center-point Cumulative Duration %,in_det_zone 5-10cm / center-point Frequency,in_det_zone 5-10cm / center-point Cumulative Duration s,in_det_zone 5-10cm / center-point Cumulative Duration %,in_det_zone 0-5cm / center-point Frequency,in_det_zone 0-5cm / center-point Cumulative Duration s,in_det_zone 0-5cm / center-point Cumulative Duration %,in_det_zone 20-25cm / center-point Frequency,in_det_zone 20-25cm / center-point Cumulative Duration s,in_det_zone 20-25cm / center-point Cumulative Duration %,in_det_zone 15-20cm / center-point Frequency,in_det_zone 15-20cm / center-point Cumulative Duration s,in_det_zone 15-20cm / center-point Cumulative Duration %,in_det_zone 30-35cm / center-point Frequency,in_det_zone 30-35cm / center-point Cumulative Duration s,in_det_zone 30-35cm / center-point Cumulative Duration %,in_det_zone 10-15cm / center-point Frequency,in_det_zone 10-15cm / center-point Cumulative Duration s,in_det_zone 10-15cm / center-point Cumulative Duration %,in_det_zone 35-40cm / center-point Frequency,in_det_zone 35-40cm / center-point Cumulative Duration s,in_det_zone 35-40cm / center-point Cumulative Duration %,in_det_zone 25-30cm / center-point Frequency,in_det_zone 25-30cm / center-point Cumulative Duration s,in_det_zone 25-30cm / center-point Cumulative Duration %,in_zone Near / center-point Frequency,in_zone Near / center-point Cumulative Duration s,in_zone Near / center-point Cumulative Duration %,in_zone Middle / center-point Frequency,in_zone Middle / center-point Cumulative Duration s,in_zone Middle / center-point Cumulative Duration %,in_zone Far / center-point Frequency,in_zone Far / center-point Cumulative Duration s,in_zone Far / center-point Cumulative Duration %,risk_3 Arena / center-point Frequency,risk_3 Arena / center-point Cumulative Duration s,risk_3 Arena / center-point Cumulative Duration %,move Moving / center-point Cumulative Duration s
Acclimation,Monday,29/07/2019,F,6,female,Bla._,6,2,HA_C2,a6798,Control,,Predator,Aggression,Novel,Social,0.533226,1199.76,6.66549,14997.4,11.5128,25915.2,0.119997,6,0.719982,0.0352913,36,19.0395,0.93326,20,99.2775,4.86628,20,6.95983,0.34115,21,9.59976,0.470551,17,7.19982,0.352913,27,12.5597,0.615638,9,18.5595,0.909733,19,6.87983,0.337228,13,127.277,6.23873,23,22.5594,1.1058,11,30.2392,1.48224,1,180.075,8.82676,152.476
Acclimation,Wednesday,,I,1,female,Bla._,2,1,HA_C2,a6798,Control,,Aggression,Novel,Social,Predator,0.617426,1389.21,7.71801,17365.5,24.8529,55943.9,0.079998,1,0.079998,0.00392126,21,11.8397,0.580347,11,17.9196,0.878362,29,16.3196,0.799937,20,8.31979,0.407811,52,37.5191,1.83907,19,8.1598,0.399969,34,62.5584,3.06643,37,17.4396,0.854835,10,35.0391,1.71751,29,33.6792,1.65085,20,111.357,5.4584,1,180.075,8.82676,167.516
Acclimation,Friday,,S,3,female,Bla._,7,1,HA_C2,a6798,Control,,Aggression,Predator,Social,Novel,0.721414,1621.02,9.01791,20263.2,20.4931,46068.4,-,0,0,0,36,21.5995,1.05874,21,30.0792,1.47439,36,14.9596,0.733276,34,14.0796,0.690142,46,35.5191,1.74104,33,13.7597,0.674457,26,32.4792,1.59203,39,17.3596,0.850914,18,60.9585,2.988,38,39.279,1.92534,21,79.598,3.90165,1,179.836,8.81499,174.316
Acclimation,Tuesday,30/07/2019,H,8,male,_.Bla,10,2,HA_T4,a6799,Treatment,,Novel,Aggression,Social,Predator,0.799132,1798.05,9.9894,22476.2,13.0682,29416.5,-,0,0,0,64,47.1988,2.31354,33,39.759,1.94887,40,14.7196,0.721512,44,14.5596,0.71367,29,17.0396,0.835229,54,24.1594,1.18422,11,7.27982,0.356835,37,15.3596,0.752882,26,103.917,5.09372,44,40.799,1.99984,19,35.3591,1.7332,1,180.075,8.82676,175.436
Acclimation,Tuesday,,L,4,male,_.Bla,5,1,HA_T4,a6799,Treatment,,Aggression,Social,Novel,Predator,0.818491,1841.6,10.2314,23020.6,22.86,51457.9,-,0,0,0,28,11.3597,0.556819,13,16.5596,0.811701,45,14.7196,0.721512,44,13.5997,0.666614,65,43.0389,2.10964,37,14.8796,0.729355,40,44.0789,2.16061,48,21.8395,1.0705,21,37.2791,1.82731,44,41.999,2.05866,24,100.797,4.94079,1,180.075,8.82676,175.276
Acclimation,Tuesday,30/07/2019,A,1,male,_.Yel,7,1,HA_C4,a6807,Control,,Social,Novel,Aggression,Predator,0.619173,1393.14,7.73986,17414.7,16.1007,36242.6,0.079998,2,0.159996,0.00784252,42,25.5994,1.2548,24,52.8787,2.59195,27,9.35977,0.458788,29,9.35977,0.458788,32,25.1194,1.23128,33,14.6396,0.717591,16,27.2793,1.33715,28,15.8396,0.77641,16,89.1178,4.36828,31,27.5193,1.34891,16,63.4384,3.10956,1,180.075,8.82676,165.436
Acclimation,Tuesday,,N,6,male,_.Yel,1,2,HA_C4,a6807,Control,,Novel,Predator,Aggression,Social,0.84101,1892.27,10.5129,23654,18.0492,40628.7,0.079998,1,0.079998,0.00392126,47,24.6394,1.20775,24,32.5592,1.59595,48,19.5195,0.956788,50,17.5196,0.858756,38,25.1194,1.23128,48,18.7995,0.921496,17,23.9994,1.17638,44,17.9196,0.878362,25,69.8383,3.42326,48,47.6788,2.33707,23,62.5584,3.06643,1,180.075,8.82676,175.276
Acclimation,Thursday,,V,6,male,_.Yel,7,2,HA_C4,a6807,Control,,Aggression,Novel,Predator,Social,0.6217,1398.82,7.77144,17485.7,15.0003,33765.6,-,0,0,0,44,30.7992,1.50969,25,45.5989,2.23512,33,15.4396,0.756803,34,15.1196,0.741118,27,24.3194,1.19206,37,18.8795,0.925418,9,12.3997,0.607795,34,17.5196,0.858756,19,88.8778,4.35652,34,42.3989,2.07827,16,48.7988,2.39197,1,180.075,8.82676,176.636
Acclimation,Tuesday,30/07/2019,E,5,male,Bla.Blu,3,2,HA_T3,a6808,Treatment,,Social,Predator,Aggression,Novel,0.493395,1110.14,6.16759,13877.1,27.7033,62360.2,-,0,0,0,5,3.9199,0.192142,3,22.8794,1.12148,12,7.59981,0.37252,5,2.55994,0.12548,35,34.5591,1.69398,4,2.87993,0.141165,24,95.9976,4.70551,20,9.67976,0.474473,2,29.1193,1.42734,11,13.7597,0.674457,10,137.197,6.72496,1,180.075,8.82676,163.276
Acclimation,Wednesday,,P,8,male,Bla.Blu,8,2,HA_T3,a6808,Treatment,,Novel,Social,Predator,Aggression,0.793869,1786.21,9.92362,22328.1,15.1014,33993.3,-,0,0,0,53,25.5194,1.25088,30,51.3587,2.51745,38,13.9996,0.686221,39,13.5197,0.662693,35,27.2793,1.33715,43,18.7195,0.917575,16,12.7197,0.623481,38,16.9596,0.831307,21,89.9977,4.41142,41,38.639,1.89397,19,51.4387,2.52137,1,180.075,8.82676,176.316
