Phase,Day,Date,Video_ID,Arena,Sex,Mark,Session,Camera,Origin,Fish_ID,Group,Notes,Phase1,Phase2,Phase3,Phase4,tot_dist_Activity,mean_speed_Activity,mean_dist_05_Activity,tot_dist_05_Activity,freeze_dur_Activity,zone_510_dur_Activity,zone_05_dur_Activity,zone_2025_dur_Activity,zone_1520_dur_Activity,zone_3035_dur_Activity,zone_1015_dur_Activity,zone_3540_dur_Activity,zone_2530_dur_Activity,zone_near_dur_Activity,zone_middle_dur_Activity,zone_far_dur_Activity,arena_dur_Activity,moving_dur_Activity
Post-assay,Monday,29/07/2019,F,6,female,Bla._,6,2,HA_C2,a6798,Control,,Predator,Aggression,Novel,Social,1140.45,6.33597,29.4998,66374.7,0.159996,1.43996,1.11997,5.11987,2.87993,110.237,2.15995,32.7992,24.2394,3.75991,12.6397,163.596,179.995,158.876
Post-assay,Friday,13/09/2019,S,3,female,Bla._,7,1,HA_C2,a6798,Control,,Aggression,Predator,Social,Novel,1901,10.5614,16.0516,36116.1,0,18.5595,66.0783,10.9597,9.35977,33.0392,12.3197,16.7996,12.8797,93.0377,28.6393,58.3185,179.995,175.836
Post-assay,Wednesday,21/08/2019,I,1,female,Bla._,2,1,HA_C2,a6798,Control,,Aggression,Novel,Social,Predator,1495.08,8.3062,11.6406,26191.3,0,22.7194,96.5576,8.47979,9.51976,15.5196,10.4797,7.59981,9.11977,126.557,24.4794,28.9593,179.995,145.676
Post-assay,Tuesday,30/07/2019,H,8,male,_.Bla,10,2,HA_T4,a6799,Treatment,,Novel,Aggression,Social,Predator,1659.04,9.21713,7.89622,17766.5,0.159996,86.2378,62.9584,4.47989,7.27982,2.39994,13.0397,0,3.59991,158.316,16.5596,5.11987,179.995,167.676
Post-assay,Tuesday,20/08/2019,L,4,male,_.Bla,5,1,HA_T4,a6799,Treatment,,Aggression,Social,Novel,Predator,995.064,5.52827,27.7783,62501.3,80.478,0,0,23.4394,5.03987,122.877,0.79998,3.35992,24.4794,0,37.8391,142.156,179.995,89.7578
Post-assay,Tuesday,30/07/2019,A,1,male,_.Yel,7,1,HA_C4,a6807,Control,,Social,Novel,Aggression,Predator,1443.77,8.02116,23.3191,52467.9,3.9999,14.4796,11.1997,15.9996,10.8797,66.8783,10.2397,9.35977,40.959,32.3992,38.479,109.117,179.995,166.396
Post-assay,Thursday,12/09/2019,V,6,male,_.Yel,7,2,HA_C4,a6807,Control,,Aggression,Novel,Predator,Social,360.736,2.00414,23.8573,53678.9,92.7177,7.03982,7.11982,37.8391,3.03992,36.6391,3.9199,1.67996,82.7179,16.5596,49.4388,113.997,179.995,43.5989
Post-assay,Tuesday,20/08/2019,N,6,male,_.Yel,1,2,HA_C4,a6807,Control,,Novel,Predator,Aggression,Social,453.688,2.52055,31.0695,69906.5,107.997,4.47989,5.59986,3.43991,3.03992,20.4795,3.51991,131.677,7.75981,12.3997,9.03977,158.556,179.995,45.9988
Post-assay,Tuesday,30/07/2019,E,5,male,Bla.Blu,3,2,HA_T3,a6808,Treatment,,Social,Predator,Aggression,Novel,965.185,5.36227,27.4976,61869.7,29.2793,5.51986,14.7996,4.1599,3.8399,99.6775,2.71993,41.759,7.51981,22.1594,10.3997,147.436,179.995,103.837
Post-assay,Thursday,12/09/2019,S,3,male,Bla.Blu,4,1,HA_T3,a6808,Treatment,,Aggression,Predator,Social,Novel,1549.44,8.60823,23.742,53419.6,12.5597,10.6397,8.31979,15.8396,10.3997,64.9584,8.71978,7.11982,53.9986,24.4794,45.1189,110.397,179.995,129.197
