Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Aggression,Monday,29/07/2019,B,2,female,Whi.Pur,1,1,HA_C1,Control,a7376,NA,1309.38,7.27451,14.2088,31969.8,8.00E-02,0.159996,34.2391,67.5983,8.31979,7.9198,5.59986,10.0797,37.1191,9.11977,107.917,22.9594,49.1188,179.995,157.836
Aggression,Monday,29/07/2019,C,3,male,Ora.Bro,1,1,HA_C1,Control,a7152,NA,2061.8,11.4547,10.723,24126.7,-,0,37.5991,83.4379,6.87983,8.23979,13.9996,16.5596,6.39984,6.87983,132.157,22.8794,24.9594,179.995,175.596
Aggression,Monday,29/07/2019,D,4,female,Ora.Pin,1,1,HA_C1,Control,a7498,NA,1597.04,8.87266,10.6128,23878.8,8.00E-02,0.079998,22.8794,101.037,6.39984,8.39979,16.3196,13.5197,4.55989,6.87983,133.677,20.6395,25.6794,179.995,166.716
Aggression,Monday,29/07/2019,F,6,male,Pur.Yel,1,2,HA_C1,Control,a7272,NA,810.698,4.50399,7.11419,16006.9,8.00E-02,0.319992,8.23979,145.996,3.67991,3.35992,5.51986,4.79988,3.9999,4.39989,157.276,10.2397,12.4797,179.995,123.837
Aggression,Monday,29/07/2019,H,8,male,Blu.Yel,1,2,HA_C1,Control,a7002,NA,816.248,4.53482,6.63347,14925.3,0.119997,0.479988,8.79978,148.796,5.19987,3.75991,3.59991,4.63988,2.07995,3.11992,161.036,11.1197,7.8398,179.995,145.756
Aggression,Monday,29/07/2019,B,2,female,Gre.Gre,2,1,HA_C1,Control,a7698,NA,1313.7,7.29854,6.7307,15144.1,-,0,22.6394,133.997,3.8399,4.0799,3.9999,6.87983,0,4.55989,161.756,11.0397,7.19982,179.995,163.596
Aggression,Monday,29/07/2019,C,3,female,Bro.Bla,2,1,HA_C1,Control,a7082,NA,1340.06,7.46822,8.21446,18433.2,2.89993,11.5997,20.7195,114.397,7.11982,8.0798,6.39984,15.3596,2.39994,5.27987,145.116,22.4794,12.1597,179.756,147.036
Aggression,Monday,29/07/2019,D,4,female,Red.Red,2,1,HA_C1,Control,a6899,NA,580.654,3.22593,4.30234,9680.27,9.00E-02,0.719982,0.959976,179.036,0,0,0,0,0,0,179.995,0,0,179.995,116.717
Aggression,Monday,29/07/2019,F,6,male,Bro.Bro,2,2,HA_C1,Control,a7720,NA,579.015,3.21683,4.66621,10499,0.125711,0.879978,5.83985,170.716,0,0.719982,0,2.71993,0,0,178.236,1.75996,0,179.995,122.237
Aggression,Monday,29/07/2019,H,8,male,Red.Ora,2,2,HA_C1,Control,a7614,NA,1352.05,7.51158,6.7514,15190.7,-,0,19.9995,129.517,4.47989,6.07985,5.51986,8.71978,1.11997,4.55989,156.076,13.9996,9.91975,179.995,163.676
