Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Novel,Monday,29/07/2019,B,2,female,Whi.Pur,1,1,HA_C1,Control,a7376,NA,1403.61,7.79803,19.0019,42754.3,0.119997,0.239994,13.1197,1.67996,34.2391,35.5191,7.27982,40.319,25.7594,22.0794,37.5991,95.7576,46.6388,179.995,170.876
Novel,Monday,29/07/2019,H,8,male,Blu.Yel,1,2,HA_C1,Control,a7002,NA,1338.3,7.4352,16.0686,36154.2,8.00E-02,0.079998,41.599,26.4793,16.3196,20.3995,18.9595,23.0394,17.9995,15.1996,83.0379,50.4787,46.4788,179.995,176.236
Novel,Monday,29/07/2019,B,2,female,Gre.Gre,2,1,HA_C1,Control,a7698,NA,915.335,5.08532,8.02309,18051.9,1.00E-01,0.79998,7.43981,142.956,2.63993,3.03992,4.95988,3.43991,11.1197,4.39989,152.476,8.47979,19.0395,179.995,134.557
Novel,Monday,29/07/2019,H,8,male,Red.Ora,2,2,HA_C1,Control,a7614,NA,1684.61,9.35919,16.8974,38019.1,-,0,18.3195,59.1185,11.9197,13.4397,19.5995,13.7597,29.0393,14.7996,86.1578,34.6391,59.1985,179.995,170.956
Novel,Monday,29/07/2019,B,2,male,Gre.Yel,3,1,HA_C1,Control,a6859,NA,1713.63,9.52041,17.8859,40243.3,0.106664,0.319992,23.7594,29.0393,19.4395,19.6795,26.7993,24.4794,18.7195,18.0795,68.0783,54.0786,57.8386,179.995,174.156
Novel,Monday,29/07/2019,H,8,female,Pin.Bro,3,2,HA_T1,Treatment,a7697,NA,674.805,3.74901,18.8455,42402.4,53.4787,106.957,9.75976,11.6797,6.39984,4.63988,14.1596,66.1583,6.55984,60.6385,85.5179,16.3196,78.158,179.995,68.2383
Novel,Monday,29/07/2019,B,2,male,Bla._,4,1,HA_T1,Treatment,a7599,NA,1098.33,6.10196,27.6578,62230,8.00E-02,0.079998,5.75986,2.71993,16.7996,7.19982,66.3983,7.9998,42.5589,30.5592,12.9597,35.5991,131.437,179.995,159.276
Novel,Monday,29/07/2019,H,8,female,_.Red,4,2,HA_T1,Treatment,a7319,NA,1220.42,6.78029,16.1835,36412.9,0.119997,0.239994,43.5989,43.1989,8.79978,6.39984,12.9597,13.5997,41.599,9.83975,97.5976,21.5195,60.8785,179.995,160.156
Novel,Monday,29/07/2019,B,2,female,Gre.Gre,5,1,HA_T1,Treatment,a7292,NA,1338.4,7.43575,15.1462,34078.9,-,0,0,0,41.679,72.0782,0,60.1585,0,6.07985,30.1592,148.556,1.27997,179.995,176.876
Novel,Monday,29/07/2019,H,8,male,Bro.Whi,5,2,HA_T1,Treatment,a7723,NA,1564.66,8.69276,17.6559,39725.8,-,0,42.3989,21.8395,11.5997,16.1596,28.0793,19.7595,24.9594,15.1996,77.3581,39.359,63.2784,179.995,176.236
Novel,Monday,29/07/2019,B,2,female,Blu.Yel,6,1,HA_C2,Control,a6881,NA,1818.93,10.1054,15.5855,35067.4,-,0,25.0394,51.0387,14.5596,15.0396,16.6396,18.3995,23.5194,15.7596,87.2778,42.5589,50.1587,179.995,174.316
Novel,Monday,29/07/2019,H,8,male,Gre.Gre,6,2,HA_C2,Control,a7688,NA,1387.18,7.70674,22.5058,50638,-,0,23.0394,19.7595,11.9197,11.3597,30.3192,11.8397,54.9586,16.7996,50.3187,32.8792,96.7976,179.995,171.836
Novel,Monday,29/07/2019,B,2,male,Red.Bro,7,1,HA_C2,Control,a7474,NA,1442.94,8.01655,19.6299,44167.2,8.00E-02,0.159996,23.2794,44.8789,6.71983,8.39979,34.3191,8.95978,39.359,14.0796,73.9182,22.1594,83.9179,179.995,169.116
Novel,Monday,29/07/2019,H,8,male,Pur.Blu,7,2,HA_C2,Control,a7163,NA,1428.39,7.9357,19.826,44608.4,8.00E-02,0.079998,24.5594,37.999,13.1197,12.5597,26.0793,14.5596,35.3591,15.7596,73.0382,35.5991,71.3582,179.995,165.196
Novel,Monday,29/07/2019,B,2,male,Ora.Pin,8,1,HA_C2,Control,a7408,NA,1390.89,7.72734,12.2959,27665.9,-,0,67.7583,24.0794,11.6797,13.8397,11.5197,30.3192,6.15985,14.6396,115.117,36.8791,27.9993,179.995,177.116
