,Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
1,Predator,Monday,29/07/2019,F,6,male,Pur.Yel,1,2,HA_C1,Control,a7272,NA,1301.29,7.22958,12.3772,27848.6,-,0,45.9189,39.999,14.9596,19.3595,14.3996,26.5593,4.55989,14.2396,103.277,47.7588,28.9593,179.995,174.076
2,Predator,Monday,29/07/2019,F,6,male,Bro.Bro,2,2,HA_C1,Control,a7720,NA,1625.79,9.03242,11.1034,24982.6,-,0,50.1587,68.2383,7.59981,7.27982,10.8797,17.4396,11.0397,7.35982,132.237,21.0395,26.7193,179.995,175.676
3,Predator,Monday,29/07/2019,F,6,male,Red.Red,3,2,HA_T1,Treatment,a7468,NA,1569.23,8.71816,22.1948,49938.2,8.00E-02,0.239994,27.1993,5.43986,18.3995,14.4796,28.4793,19.4395,45.8389,20.7195,47.1188,45.5989,87.2778,179.995,164.956
4,Predator,Monday,29/07/2019,F,6,female,Red.Pin,4,2,HA_T1,Treatment,a6894,NA,1554.54,8.63657,21.7954,49039.7,-,0,15.5996,10.1597,20.3195,16.7196,38.559,24.8794,30.4792,23.2794,40.639,53.1987,86.1578,179.995,170.156
5,Predator,Monday,29/07/2019,F,6,female,_.Pur,5,2,HA_T1,Treatment,a6825,NA,2037.45,11.3194,15.383,34611.8,-,0,29.7593,32.6392,18.7995,21.1195,20.1595,27.5193,12.9597,17.0396,81.598,54.7186,43.6789,179.995,177.276
6,Predator,Monday,29/07/2019,F,6,female,Bla._,6,2,HA_C2,Control,a6798,NA,1398.82,7.77143,11.1403,25065.7,8.00E-02,0.079998,28.7193,79.838,9.03977,14.3996,13.8397,19.4395,3.19992,11.5197,121.357,33.2792,25.3594,179.995,163.516
7,Predator,Monday,29/07/2019,F,6,male,Blu.Blu,7,2,HA_C2,Control,a7006,NA,1357.71,7.54302,15.4315,34721,-,0,37.2791,45.6789,10.9597,13.6797,17.3596,17.6796,24.1594,13.1997,94.6376,33.9192,51.4387,179.995,174.876
8,Predator,Monday,29/07/2019,F,6,male,Pin._,8,2,HA_T2,Treatment,a7054,NA,1921.38,10.6746,18.5648,41770.8,-,0,29.9193,15.7596,23.4394,18.7995,31.3592,23.7594,14.7196,22.2394,61.6785,57.8386,60.4785,179.995,172.636
9,Predator,Monday,29/07/2019,F,6,female,Pur.Pur,9,2,HA_T2,Treatment,a6932,NA,1178.37,6.54666,23.6102,53122.9,8.00E-02,0.159996,7.19982,0.79998,26.9593,23.1994,37.2791,16.7996,35.8391,31.9192,16.7996,67.4383,95.7576,179.995,170.316
10,Predator,Monday,29/07/2019,F,6,male,Pur._,11,2,HA_T2,Treatment,a7167,"RE-RUN, Covers fell down towards end, may exclude",1532.04,8.51155,23.4685,52804.2,0.479988,0.479988,19.9195,0.79998,22.1594,16.2396,43.5189,15.9996,36.4791,24.8794,30.3992,52.8787,96.7176,179.995,163.836
