"","X","Time","Day","Date","Video","Arena","Sex","Mark","Session","Camera","Tank","Group","Fish_ID","Notes","tot_dist","mean_speed","mean_dist_05","tot_dist_05","freeze_mean","freeze_dur","zone_510_dur","zone_05_dur","zone_2025_dur","zone_1520_dur","zone_3035_dur","zone_1015_dur","zone_3540_dur","zone_2530_dur","zone_near_dur","zone_middle_dur","zone_far_dur","arena_dur","moving_dur"
"1",1441,"6-9","Monday","29/07/2019","A",1,"male","Ora.Bla",1,1,"HA_C1","Control","a7403",NA,788.247,4.37926,4.29466,9663,"7.9998E-2",0.079998,9.59976,167.916,0.479988,0.719982,0,1.27997,0,0,178.556,1.43996,0,179.995,146.156
"2",1442,"6-9","Monday","29/07/2019","C",3,"male","Ora.Bro",1,1,"HA_C1","Control","a7152",NA,1429.11,7.93972,7.64187,17194.2,"7.9998E-2",0.159996,34.5591,113.277,2.95993,3.67991,5.11987,14.7196,1.83995,3.8399,159.356,10.7197,9.91975,179.995,169.276
"3",1443,"6-9","Monday","29/07/2019","D",4,"female","Ora.Pin",1,1,"HA_C1","Control","a7498",NA,1536.47,8.53617,6.24098,14042.2,"7.9998E-2",0.079998,32.3192,128.477,2.79993,2.47994,5.35987,4.87988,0,3.67991,164.716,7.27982,7.9998,179.995,170.556
"4",1444,"6-9","Monday","29/07/2019","E",5,"female","Pin.Whi",1,2,"HA_C1","Control","a7281",NA,836.117,4.65763,5.46304,12264.5,"7.9998E-2",0.159996,0.239994,170.956,0.239994,0.159996,0.479988,0.159996,7.27982,0.319992,171.276,0.559986,7.9998,179.836,148.476
"5",1445,"6-9","Monday","29/07/2019","G",7,"male","Whi.Blu",1,2,"HA_C1","Control","a7179",NA,980.891,5.44953,8.01037,18023.3,"7.9998E-2",0.239994,9.43976,139.197,3.59991,4.1599,10.9597,5.51986,2.15995,4.95988,152.076,11.5997,16.3196,179.995,156.156
"6",1446,"6-9","Monday","29/07/2019","A",1,"female","Blu.Blu",2,1,"HA_C1","Control","a7659",NA,1091.19,6.06233,5.20179,11704,"-",0,24.1594,138.557,1.43996,2.55994,0.639984,11.7597,0,0.879978,170.876,7.9198,1.19997,179.995,163.036
"7",1447,"6-9","Monday","29/07/2019","C",3,"female","Bro.Bla",2,1,"HA_C1","Control","a7082",NA,953.489,5.29729,9.4552,21274.2,"7.9998E-2",0.079998,10.1597,131.997,0.879978,3.19992,6.31984,5.11987,19.6795,2.63993,145.676,5.91985,28.3993,179.995,152.876
"8",1448,"6-9","Monday","29/07/2019","D",4,"female","Red.Red",2,1,"HA_C1","Control","a6899",NA,532.815,2.96016,4.43157,9971.04,"9.9997500000000003E-2",1.99995,1.03997,178.956,0,0,0,0,0,0,179.995,0,0,179.995,111.597
"9",1449,"6-9","Monday","29/07/2019","E",5,"male","Yel._",2,2,"HA_C1","Control","a7475",NA,590.178,3.27885,4.46155,10038.5,"0.11999700000000001",0.479988,2.07995,175.996,0.559986,0.479988,0,0.479988,0,0.39999,178.396,1.59996,0,179.995,125.597
"10",1450,"6-9","Monday","29/07/2019","G",7,"male","Pin.Ora",2,2,"HA_C1","Control","a7555",NA,1457.52,8.10835,15.0025,33725.6,"-",0,14.7996,79.438,10.7197,8.71978,25.9194,10.1597,18.5595,11.6797,100.877,26.0793,53.0387,179.995,172.316
"11",1451,"6-9","Monday","29/07/2019","A",1,"male","Red.Yel",3,1,"HA_C1","Control","a7563",NA,1275.8,7.08798,5.90489,13286,"0.11999700000000001",0.239994,43.5189,114.637,3.19992,3.9199,2.23994,8.87978,0,3.59991,164.796,11.1997,3.9999,179.995,168.796
"12",1452,"6-9","Monday","29/07/2019","C",3,"female","Yel.Red",3,1,"HA_C1","Control","a8068",NA,605.462,3.37576,6.44366,14453.1,"0.189086",2.07995,4.95988,166.156,1.43996,1.99995,1.35997,1.43996,1.03997,1.27997,172.076,4.39989,3.19992,179.676,103.517
"13",1453,"6-9","Monday","29/07/2019","D",4,"male","Red.Pin",3,1,"HA_C1","Control","a6985",NA,408.451,2.26923,5.98803,13473.1,"0.109997",0.879978,1.35997,168.716,0.39999,0.319992,1.99995,0.319992,5.99985,0.879978,170.316,0.879978,8.79978,179.995,81.278
