Mark,Sex,Fish_ID,Tank,Group,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
Gre.Bro,female,a6834,HA_C1,Control,0.227,2.521,0.035717427,1.416795994,15/05/2019,0,112,
Red.Red,female,a6899,HA_C1,Control,0.338,2.797,0.043204777,1.544682766,15/05/2019,0,112,
Bla.Red,female,a6923,HA_C1,Control,0.175,2.259,0.034293008,1.518061464,15/05/2019,0,112,
Blu.Yel,female,a7002,HA_C1,Control,0.185,2.202,0.038153739,1.732685673,15/05/2019,0,112,
Bro.Bla,female,a7082,HA_C1,Control,0.289,2.631,0.041749968,1.586847889,15/05/2019,0,112,
Red.Whi,female,a7226,HA_C1,Control,0.284,2.75,0.037553719,1.365589782,15/05/2019,0,112,
Whi.Pur,female,a7376,HA_C1,Control,0.249,2.201,0.051399544,2.335281395,15/05/2019,0,112,now looks female 
Ora.Pin,female,a7498,HA_C1,Control,0.25,2.626,0.036253552,1.380561772,15/05/2019,0,112,
Blu.Blu,female,a7659,HA_C1,Control,0.275,2.396,0.047902598,1.999273699,15/05/2019,0,112,
Gre.Gre,female,a7698,HA_C1,Control,0.256,2.342,0.04667305,1.992871485,15/05/2019,0,112,
Yel.Red,female,a8068,HA_C1,Control,0.175,2.156,0.037647881,1.746191135,15/05/2019,0,112,
Bla._,female,a6798,HA_C2,Control,0.231,2.447,0.038578385,1.576558433,16/05/2019,0,112,
Blu.Yel,female,a6881,HA_C2,Control,0.287,2.746,0.038061056,1.386054471,16/05/2019,0,112,
Blu.Ora,female,a7204,HA_C2,Control,0.309,2.77,0.040271605,1.453848565,16/05/2019,0,112,
Pin.Bro,female,a7284,HA_C2,Control,0.28,2.84,0.034715334,1.222370925,16/05/2019,0,112,
Ora.Ora,female,a7486,HA_C2,Control,0.33,2.806,0.041912021,1.493657211,16/05/2019,0,112,
_.Pin,female,a7549,HA_C2,Control,0.219,2.512,0.034706023,1.381609178,16/05/2019,0,112,
_._,female,a7658,HA_C2,Control,0.195,2.414,0.033462631,1.386190168,17/05/2019,0,112,replacement fish 17/5/19
Red._,female,a8064,HA_C2,Control,0.227,2.709,0.030931989,1.141823145,16/05/2019,0,112,
Blu.Pur,female,a6813,HA_C3,Control,0.308,2.675,0.043043061,1.609086375,16/05/2019,0,112,
Pin.Gre,female,a6845,HA_C3,Control,0.28,2.639,0.040204925,1.523490887,16/05/2019,0,112,
Blu.Gre,female,a6885,HA_C3,Control,0.224,2.416,0.03837551,1.588390308,16/05/2019,0,112,
Bla.Bla,female,a6929,HA_C3,Control,0.233,2.526,0.036516507,1.445625773,16/05/2019,0,112,
Red.Pur,female,a7093,HA_C3,Control,0.239,2.672,0.03347534,1.252819601,16/05/2019,0,112,
Whi.Pin,female,a7232,HA_C3,Control,0.353,2.968,0.040072544,1.350153093,16/05/2019,0,112,
_.Pin,female,a7279,HA_C3,Control,0.326,2.605,0.048039906,1.844142247,16/05/2019,0,112,
Red.Whi,female,a7322,HA_C3,Control,0.233,2.481,0.037853182,1.525722772,16/05/2019,0,112,
Red.Red,female,a7497,HA_C3,Control,0.238,2.619,0.034698121,1.324861445,16/05/2019,0,112,
Pin.Blu,female,a7552,HA_C3,Control,0.226,2.421,0.038558387,1.59266366,16/05/2019,0,112,
Bla.Blu,female,a7660,HA_C3,Control,0.263,2.566,0.039943162,1.55663142,16/05/2019,0,112,"very difficult to distinguish from bla.bla, may need to switch"
Gre.Pin,female,a7679,HA_C3,Control,0.256,2.508,0.040699109,1.622771489,16/05/2019,0,112,
