Mark,Sex,Fish_ID,Origin,Glucose,Meter,Group,Weight
Gre.Yel,male,a6859,HA_C1,2.8,1,Control,0.538
Gre.Yel,male,a6859,HA_C1,2.8,2,Control,0.538
Gre.Yel,male,a6859,HA_C1,2.8,3,Control,0.538
Pin.Ora,male,a7555,HA_C1,3.1,1,Control,0.514
Pin.Ora,male,a7555,HA_C1,2.9,2,Control,0.514
Pin.Ora,male,a7555,HA_C1,3.4,3,Control,0.514
Whi.Pur,female,a7376,HA_C1,2.3,1,Control,0.529
Whi.Pur,female,a7376,HA_C1,2.3,2,Control,0.529
Whi.Pur,female,a7376,HA_C1,2.5,3,Control,0.529
Bro.Bla,female,a7082,HA_C1,4.7,1,Control,0.863
Bro.Bla,female,a7082,HA_C1,4.6,2,Control,0.863
Bro.Bla,female,a7082,HA_C1,4.3,3,Control,0.863
Whi.Blu,male,a7179,HA_C1,2.8,1,Control,0.494
Whi.Blu,male,a7179,HA_C1,2.8,2,Control,0.494
Whi.Blu,male,a7179,HA_C1,2.9,3,Control,0.494
Blu.Blu,female,a7659,HA_C1,2.3,1,Control,0.527
Blu.Blu,female,a7659,HA_C1,2.3,2,Control,0.527
Blu.Blu,female,a7659,HA_C1,2.4,3,Control,0.527
Red.Red,female,a6899,HA_C1,4.2,1,Control,0.849
Red.Red,female,a6899,HA_C1,4.3,2,Control,0.849
Red.Red,female,a6899,HA_C1,4.4,3,Control,0.849
Yel.Red,female,a8068,HA_C1,2.7,1,Control,0.641
Yel.Red,female,a8068,HA_C1,2.5,2,Control,0.641
Yel.Red,female,a8068,HA_C1,2.9,3,Control,0.641
Ora.Pin,female,a7498,HA_C1,5.6,1,Control,0.743
Ora.Pin,female,a7498,HA_C1,5.4,2,Control,0.743
Ora.Pin,female,a7498,HA_C1,5.6,3,Control,0.743
Red.Yel,male,a7563,HA_C1,2.1,1,Control,0.495
Red.Yel,male,a7563,HA_C1,2.8,2,Control,0.495
Ora.Bla,male,a7403,HA_C1,2.3,1,Control,0.455
Ora.Bla,male,a7403,HA_C1,2.2,2,Control,0.455
Ora.Bla,male,a7403,HA_C1,2.1,3,Control,0.455
Red.Pin,male,a6985,HA_C1,2.3,1,Control,0.482
Red.Pin,male,a6985,HA_C1,2.4,2,Control,0.482
Red.Pin,male,a6985,HA_C1,2.2,3,Control,0.482
Red.Ora,male,a7614,HA_C1,5.4,1,Control,0.443
Red.Ora,male,a7614,HA_C1,4.7,2,Control,0.443
Red.Ora,male,a7614,HA_C1,4.4,3,Control,0.443
Ora.Bro,male,a7152,HA_C1,2.3,1,Control,0.513
Ora.Bro,male,a7152,HA_C1,2.9,2,Control,0.513
Ora.Bro,male,a7152,HA_C1,2.7,3,Control,0.513
Pin.Whi,female,a7281,HA_C1,4.8,1,Control,0.958
Pin.Whi,female,a7281,HA_C1,5.4,2,Control,0.958
Pin.Whi,female,a7281,HA_C1,6,3,Control,0.958
Yel._,male,a7475,HA_C1,2.2,1,Control,0.443
Yel._,male,a7475,HA_C1,2.2,2,Control,0.443
Yel._,male,a7475,HA_C1,3.1,3,Control,0.443
Gre.Pin,female,a7013,HA_C1,3.2,1,Control,0.554
Gre.Pin,female,a7013,HA_C1,3.2,2,Control,0.554
Gre.Pin,female,a7013,HA_C1,3.4,3,Control,0.554
Bro.Bro,male,a7720,HA_C1,2.1,1,Control,0.426
Bro.Bro,male,a7720,HA_C1,2.2,2,Control,0.426
Bro.Bro,male,a7720,HA_C1,2.1,3,Control,0.426
Gre.Gre,female,a7698,HA_C1,2.6,1,Control,0.819
Gre.Gre,female,a7698,HA_C1,2.4,2,Control,0.819
Gre.Gre,female,a7698,HA_C1,2.4,3,Control,0.819
Pur.Yel,male,a7272,HA_C1,2,1,Control,0.419
Pur.Yel,male,a7272,HA_C1,2.1,2,Control,0.419
Pur.Yel,male,a7272,HA_C1,1.9,3,Control,0.419
Pur._,male,a7056,HA_C2,2.5,1,Control,0.408
Pur._,male,a7056,HA_C2,2.7,2,Control,0.408
Pur._,male,a7056,HA_C2,2.5,3,Control,0.408
Whi.Yel,male,a7370,HA_C2,1.6,1,Control,0.379
Whi.Yel,male,a7370,HA_C2,1.6,2,Control,0.379
Whi.Yel,male,a7370,HA_C2,1.5,3,Control,0.379
Red.Bro,male,a7474,HA_C2,1.5,1,Control,0.413
Red.Bro,male,a7474,HA_C2,1.8,2,Control,0.413
Red.Bro,male,a7474,HA_C2,2,3,Control,0.413
Ora.Pin,male,a7408,HA_C2,2,1,Control,0.419
Ora.Pin,male,a7408,HA_C2,2.2,2,Control,0.419
Ora.Pin,male,a7408,HA_C2,2.2,3,Control,0.419
Pur.Blu,male,a7163,HA_C2,2.2,1,Control,0.449
Pur.Blu,male,a7163,HA_C2,2.1,2,Control,0.449
Pur.Blu,male,a7163,HA_C2,2.1,3,Control,0.449
Ora.Bro,male,a6967,HA_C2,2.5,1,Control,0.451
Ora.Bro,male,a6967,HA_C2,2.7,2,Control,0.451
Ora.Bro,male,a6967,HA_C2,2.9,3,Control,0.451
Pin.Yel,male,a6847,HA_C2,2.8,1,Control,0.462
Pin.Yel,male,a6847,HA_C2,2.9,2,Control,0.462
Pin.Yel,male,a6847,HA_C2,3,3,Control,0.462
Ora.Ora,female,a7486,HA_C2,2.4,1,Control,0.767
Ora.Ora,female,a7486,HA_C2,2.3,2,Control,0.767
Ora.Ora,female,a7486,HA_C2,2.7,3,Control,0.767
Ora.Yel,male,a7153,HA_C2,2.2,1,Control,0.428
Ora.Yel,male,a7153,HA_C2,2.6,2,Control,0.428
Ora.Yel,male,a7153,HA_C2,2.3,3,Control,0.428
Blu.Yel,female,a6881,HA_C2,4.3,1,Control,0.772
Blu.Yel,female,a6881,HA_C2,4.5,2,Control,0.772
Blu.Yel,female,a6881,HA_C2,4.3,3,Control,0.772
_.Pin,female,a7549,HA_C2,3.4,1,Control,0.682
_.Pin,female,a7549,HA_C2,3.5,2,Control,0.682
_.Pin,female,a7549,HA_C2,3.5,3,Control,0.682
Bla._,female,a6798,HA_C2,2.4,1,Control,0.649
Bla._,female,a6798,HA_C2,2.4,2,Control,0.649
Bla._,female,a6798,HA_C2,2.7,3,Control,0.649
Red._,female,a8064,HA_C2,2,1,Control,0.594
Red._,female,a8064,HA_C2,2.1,2,Control,0.594
Red._,female,a8064,HA_C2,1.4,3,Control,0.594
Pin.Bro,female,a7284,HA_C2,4.1,1,Control,0.728
Pin.Bro,female,a7284,HA_C2,4.3,2,Control,0.728
Pin.Bro,female,a7284,HA_C2,4,3,Control,0.728
Blu.Blu,male,a7006,HA_C2,3.3,1,Control,0.434
Blu.Blu,male,a7006,HA_C2,3.2,2,Control,0.434
Blu.Blu,male,a7006,HA_C2,3.1,3,Control,0.434
