"000:00:00.000","Info","2019-10-09 23:57:24","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7459 a7414 a8070 a6808"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.754","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.755","","","","","","ZONE_DISTANCES",3251,6824,16018,34063,12105,19377,4176,11544
"000:35:30.756","","","","","","ZONE_TIMERS",58.433,241.646,95.760,204.319,111.315,188.764,44.790,255.289
"000:35:30.756","","","","","","ZONE_COUNTERS",16,16,47,47,47,47,11,12
"000:35:30.757","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.757","","","","","","TOTAL_ARENA_DISTANCES",10075,50081,31483,15720
"000:40:30.814","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.815","","","","","","ZONE_DISTANCES",1154,5604,19608,30046,20903,8601,13489,4246
"000:40:30.815","","","","","","ZONE_TIMERS",15.298,284.761,101.616,198.442,222.735,77.324,257.236,42.823
"000:40:30.816","","","","","","ZONE_COUNTERS",8,9,42,43,47,47,19,20
"000:40:30.817","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.817","","","","","","TOTAL_ARENA_DISTANCES",6757,49654,29504,17735
"000:45:30.880","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
