"000:00:00.000","Info","2019-10-09 23:58:01","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7160 a7091 a7045 a7325"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.902","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.902","","","","","","ZONE_DISTANCES",175,1208,6493,4821,3653,15042,2083,4694
"000:35:30.903","","","","","","ZONE_TIMERS",126.231,173.832,198.996,101.067,34.204,265.859,18.416,281.647
"000:35:30.903","","","","","","ZONE_COUNTERS",1,1,14,14,10,9,6,6
"000:35:30.904","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.904","","","","","","TOTAL_ARENA_DISTANCES",1384,11314,18696,6776
"000:40:30.970","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.971","","","","","","ZONE_DISTANCES",4224,2439,1707,1292,9757,13036,1622,3073
"000:40:30.971","","","","","","ZONE_TIMERS",223.921,76.146,269.838,30.230,97.046,203.022,10.641,289.427
"000:40:30.972","","","","","","ZONE_COUNTERS",7,8,4,4,25,25,4,5
"000:40:30.972","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.972","","","","","","TOTAL_ARENA_DISTANCES",6663,2999,22792,4695
"000:45:31.059","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:31.060","","","","","","ZONE_DISTANCES",0,2325,1800,2497,7337,12339,6715,7024
"000:45:31.060","","","","","","ZONE_TIMERS",0.000,300.088,123.777,176.310,106.654,193.433,185.782,114.305
"000:45:31.061","","","","","","ZONE_COUNTERS",0,1,5,5,20,21,19,19
"000:45:31.061","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.062","","","","","","TOTAL_ARENA_DISTANCES",2325,4297,19676,13739
