"000:00:00.000","Info","2019-10-11 00:07:59","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7201 a7367 a7438 a6971"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.665","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.665","","","","","","ZONE_DISTANCES",1581,4447,3986,33245,16618,22513,21959,11589
"000:35:30.666","","","","","","ZONE_TIMERS",78.043,221.959,20.222,279.780,119.910,180.092,209.822,90.180
"000:35:30.667","","","","","","ZONE_COUNTERS",6,7,26,27,44,44,43,43
"000:35:30.667","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.668","","","","","","TOTAL_ARENA_DISTANCES",6028,37231,39132,33548
"000:40:30.676","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.676","","","","","","ZONE_DISTANCES",0,1666,28500,11040,20491,19487,13588,18531
"000:40:30.677","","","","","","ZONE_TIMERS",0.000,300.010,244.581,55.429,147.916,152.093,117.415,182.595
"000:40:30.677","","","","","","ZONE_COUNTERS",0,1,40,40,40,39,38,38
"000:40:30.677","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.678","","","","","","TOTAL_ARENA_DISTANCES",1665,39540,39978,32119
"000:45:30.714","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.714","","","","","","ZONE_DISTANCES",181,2078,3279,25394,15835,25871,14893,16233
"000:45:30.715","","","","","","ZONE_TIMERS",4.490,295.547,18.627,281.411,104.138,195.899,121.376,178.662
"000:45:30.715","","","","","","ZONE_COUNTERS",1,2,15,15,52,52,35,36
"000:45:30.716","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.716","","","","","","TOTAL_ARENA_DISTANCES",2260,28673,41705,31126
"000:50:30.755","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.756","","","","","","ZONE_DISTANCES",568,3996,34860,15774,18449,18689,9181,14127
"000:50:30.756","","","","","","ZONE_TIMERS",7.004,293.036,220.024,80.016,147.220,152.820,89.729,210.311
"000:50:30.757","","","","","","ZONE_COUNTERS",4,5,60,60,36,37,24,25
"000:50:30.757","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.757","","","","","","TOTAL_ARENA_DISTANCES",4564,50634,37138,23308
"000:55:30.766","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.768","","","","","","ZONE_DISTANCES",1455,3888,18845,33300,18608,26081,13039,14847
"000:55:30.770","","","","","","ZONE_TIMERS",48.778,251.230,106.398,193.610,120.796,179.213,136.972,163.037
"000:55:30.771","","","","","","ZONE_COUNTERS",6,7,69,69,72,73,26,27
"000:55:30.775","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.777","","","","","","TOTAL_ARENA_DISTANCES",5344,52145,44689,27887
"001:00:30.806","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.807","","","","","","ZONE_DISTANCES",0,2249,24232,31818,22562,16219,7261,12993
"001:00:30.808","","","","","","ZONE_TIMERS",0.000,300.040,119.724,180.316,176.372,123.667,61.816,238.224
"001:00:30.808","","","","","","ZONE_COUNTERS",0,1,61,61,44,44,17,18
"001:00:30.809","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.809","","","","","","TOTAL_ARENA_DISTANCES",2248,56050,38781,20254
"001:00:30.890","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.891","","","","","","ZONE_DISTANCES",3785,18324,113702,150571,112563,128860,79921,88320
"001:00:30.891","","","","","","ZONE_TIMERS",138.317,1661.834,729.586,1070.565,816.363,983.787,737.131,1063.019
"001:00:30.892","","","","","","ZONE_COUNTERS",17,18,269,269,286,286,182,183
"001:00:30.892","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
