"000:00:00.000","Info","2019-10-11 00:07:21","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7492 a8045 a7696 a6843"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.643","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.645","","","","","","ZONE_DISTANCES",11058,26495,18148,23833,2291,3515,3565,1864
"000:35:30.646","","","","","","ZONE_TIMERS",68.405,231.597,116.914,183.087,278.127,21.875,269.888,30.113
"000:35:30.648","","","","","","ZONE_COUNTERS",50,51,47,47,9,8,6,5
"000:35:30.649","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.651","","","","","","TOTAL_ARENA_DISTANCES",37552,41981,5807,5429
"000:40:30.684","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.686","","","","","","ZONE_DISTANCES",27840,25093,20493,18949,26,0,333,3016
"000:40:30.688","","","","","","ZONE_TIMERS",164.971,135.069,152.841,147.200,300.041,0.000,3.603,296.438
"000:40:30.690","","","","","","ZONE_COUNTERS",62,63,42,42,1,0,2,2
"000:40:30.692","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.693","","","","","","TOTAL_ARENA_DISTANCES",52933,39442,25,3349
"000:45:30.752","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.755","","","","","","ZONE_DISTANCES",25164,21516,23190,15368,4641,3158,2106,636
"000:45:30.756","","","","","","ZONE_TIMERS",152.398,147.669,189.860,110.208,278.023,22.044,289.866,10.202
"000:45:30.758","","","","","","ZONE_COUNTERS",49,50,35,35,9,8,2,2
"000:45:30.760","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
