"000:00:00.000","Info","2019-10-11 01:51:57","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6799 a8057 a7608 a7138"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.537","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.538","","","","","","ZONE_DISTANCES",781,722,3721,3584,4581,5736,9139,24457
"000:35:30.539","","","","","","ZONE_TIMERS",176.696,123.306,249.385,50.617,41.264,258.737,71.935,228.067
"000:35:30.539","","","","","","ZONE_COUNTERS",8,7,9,9,10,11,48,49
"000:35:30.539","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.540","","","","","","TOTAL_ARENA_DISTANCES",1503,7304,10317,33596
"000:40:30.578","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.578","","","","","","ZONE_DISTANCES",223,535,560,832,2460,5138,19258,17716
"000:40:30.579","","","","","","ZONE_TIMERS",1.349,298.691,11.703,288.337,17.744,282.296,164.823,135.217
"000:40:30.579","","","","","","ZONE_COUNTERS",1,1,58,58,6,7,41,41
"000:40:30.580","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.580","","","","","","TOTAL_ARENA_DISTANCES",758,1392,7598,36975
"000:45:30.588","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.588","","","","","","ZONE_DISTANCES",1014,128,1346,1484,3201,1339,5307,14419
"000:45:30.589","","","","","","ZONE_TIMERS",299.565,0.443,56.490,243.518,293.621,6.387,133.806,166.202
"000:45:30.589","","","","","","ZONE_COUNTERS",1,1,4,5,3,3,18,17
"000:45:30.590","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.590","","","","","","TOTAL_ARENA_DISTANCES",1142,2830,4540,19726
"000:50:30.639","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.639","","","","","","ZONE_DISTANCES",101,432,1473,1225,5538,9864,20090,19564
"000:50:30.640","","","","","","ZONE_TIMERS",137.487,162.563,14.080,285.971,35.879,264.172,144.141,155.909
"000:50:30.640","","","","","","ZONE_COUNTERS",3,3,4,4,14,13,45,45
"000:50:30.641","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.641","","","","","","TOTAL_ARENA_DISTANCES",534,2698,15402,39653
"000:55:30.669","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.670","","","","","","ZONE_DISTANCES",0,161,507,947,10377,7272,12493,21177
"000:55:30.671","","","","","","ZONE_TIMERS",0.000,300.029,93.407,206.621,239.852,60.177,89.215,210.813
"000:55:30.672","","","","","","ZONE_COUNTERS",0,1,54,54,21,20,36,37
"000:55:30.674","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
