"000:00:00.000","Info","2019-10-14 00:06:13","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7563 a7614 a6985 a6899"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.789","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.790","","","","","","ZONE_DISTANCES",6503,14191,11489,16773,12771,16503,4503,13028
"000:35:30.790","","","","","","ZONE_TIMERS",54.972,245.075,84.499,215.547,125.616,174.431,102.967,197.080
"000:35:30.791","","","","","","ZONE_COUNTERS",23,24,31,32,30,30,26,26
"000:35:30.791","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.792","","","","","","TOTAL_ARENA_DISTANCES",20695,28261,29273,17531
"000:40:30.881","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.882","","","","","","ZONE_DISTANCES",10708,9950,6206,6749,10694,17058,1919,7908
"000:40:30.882","","","","","","ZONE_TIMERS",199.098,100.993,154.120,145.971,108.346,191.745,36.618,263.473
"000:40:30.883","","","","","","ZONE_COUNTERS",22,22,13,13,22,22,13,13
"000:40:30.883","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.883","","","","","","TOTAL_ARENA_DISTANCES",20658,12955,27752,9827
"000:45:30.964","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.965","","","","","","ZONE_DISTANCES",4795,4881,4879,8278,17668,9866,478,7273
"000:45:30.965","","","","","","ZONE_TIMERS",44.508,255.574,42.994,257.088,202.946,97.136,15.874,284.208
"000:45:30.966","","","","","","ZONE_COUNTERS",11,11,13,13,22,22,3,3
"000:45:30.966","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.966","","","","","","TOTAL_ARENA_DISTANCES",9675,13157,27534,7752
