"000:00:00.000","Info","2019-10-14 03:07:58","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7191 a7412 a7379 a7062"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.582","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.582","","","","","","ZONE_DISTANCES",8229,10339,2042,10154,9375,8899,925,1600
"000:35:30.583","","","","","","ZONE_TIMERS",98.187,201.862,26.532,273.517,169.308,130.740,82.157,217.892
"000:35:30.584","","","","","","ZONE_COUNTERS",30,29,5,5,26,27,14,14
"000:35:30.584","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.585","","","","","","TOTAL_ARENA_DISTANCES",18568,12196,18274,2525
"000:40:30.667","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.668","","","","","","ZONE_DISTANCES",9469,6099,10887,364,3115,4951,952,1636
"000:40:30.668","","","","","","ZONE_TIMERS",210.243,89.842,213.345,86.739,101.925,198.160,162.010,138.074
"000:40:30.669","","","","","","ZONE_COUNTERS",22,22,1,1,15,15,26,26
"000:40:30.670","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.670","","","","","","TOTAL_ARENA_DISTANCES",15568,11250,8066,2588
"000:45:30.726","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.727","","","","","","ZONE_DISTANCES",3572,6888,180,1472,3310,3194,2008,1814
"000:45:30.728","","","","","","ZONE_TIMERS",77.831,222.228,131.793,168.265,131.346,168.713,222.088,77.970
"000:45:30.728","","","","","","ZONE_COUNTERS",15,16,1,1,12,12,8,8
