"000:00:00.000","Info","2019-10-14 03:08:37","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6991 a7550 a6894 a7468"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.574","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.574","","","","","","ZONE_DISTANCES",13464,14237,4799,18017,4918,5932,2602,3269
"000:35:30.575","","","","","","ZONE_TIMERS",161.289,138.746,40.085,259.950,41.154,258.881,87.028,213.007
"000:35:30.576","","","","","","ZONE_COUNTERS",27,27,28,29,13,13,8,8
"000:35:30.576","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.576","","","","","","TOTAL_ARENA_DISTANCES",27701,22815,10850,5871
"000:40:30.585","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.585","","","","","","ZONE_DISTANCES",4303,4415,12790,3582,4931,2721,2755,317
"000:40:30.586","","","","","","ZONE_TIMERS",194.094,105.916,267.867,32.143,278.409,21.600,199.029,100.981
"000:40:30.587","","","","","","ZONE_COUNTERS",10,11,18,18,11,11,2,3
"000:40:30.587","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.587","","","","","","TOTAL_ARENA_DISTANCES",8718,16372,7652,3072
"000:45:30.624","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.624","","","","","","ZONE_DISTANCES",4507,1820,203,13515,157,2269,480,2849
"000:45:30.624","","","","","","ZONE_TIMERS",271.893,28.145,1.756,298.281,0.568,299.470,201.863,98.175
"000:45:30.625","","","","","","ZONE_COUNTERS",4,4,5,5,1,1,1,2
"000:45:30.627","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.627","","","","","","TOTAL_ARENA_DISTANCES",6327,13718,2426,3328
