"000:00:00.000","Info","2019-10-15 01:34:53","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7688 a7204 a6881 a7729"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.539","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.540","","","","","","ZONE_DISTANCES",853,16858,8244,14654,20221,26218,6779,4168
"000:35:30.541","","","","","","ZONE_TIMERS",6.116,293.945,85.405,214.656,136.872,163.190,177.979,122.082
"000:35:30.542","","","","","","ZONE_COUNTERS",7,8,31,31,82,82,19,18
"000:35:30.543","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.544","","","","","","TOTAL_ARENA_DISTANCES",17711,22898,46439,10947
"000:40:30.601","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.602","","","","","","ZONE_DISTANCES",1768,4398,2124,3313,26686,21248,7294,9862
"000:40:30.603","","","","","","ZONE_TIMERS",22.944,277.117,99.033,201.028,155.226,144.835,85.552,214.509
"000:40:30.604","","","","","","ZONE_COUNTERS",3,4,7,8,88,88,26,25
"000:40:30.605","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.605","","","","","","TOTAL_ARENA_DISTANCES",6166,5437,47934,17156
"000:45:30.663","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.663","","","","","","ZONE_DISTANCES",0,2802,279,8008,21714,22167,4497,3375
"000:45:30.664","","","","","","ZONE_TIMERS",0.000,300.062,3.705,296.356,161.745,138.316,231.482,68.579
"000:45:30.664","","","","","","ZONE_COUNTERS",0,1,3,4,74,74,17,17
"000:45:30.665","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.665","","","","","","TOTAL_ARENA_DISTANCES",2801,8287,43881,7872
"000:50:30.708","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.709","","","","","","ZONE_DISTANCES",457,5104,5297,6767,19868,20191,6211,6237
"000:50:30.709","","","","","","ZONE_TIMERS",3.804,296.240,128.234,171.811,129.319,170.726,135.234,164.811
"000:50:30.710","","","","","","ZONE_COUNTERS",4,5,11,12,63,62,22,22
"000:50:30.710","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.711","","","","","","TOTAL_ARENA_DISTANCES",5561,12064,40060,12447
"000:55:30.777","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.777","","","","","","ZONE_DISTANCES",0,9561,940,8053,19219,19794,3985,4261
"000:55:30.778","","","","","","ZONE_TIMERS",0.000,300.068,12.688,287.379,156.668,143.399,155.016,145.052
"000:55:30.778","","","","","","ZONE_COUNTERS",0,1,7,8,61,61,18,17
"000:55:30.779","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.779","","","","","","TOTAL_ARENA_DISTANCES",9561,8993,39013,8246
"001:00:30.851","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.851","","","","","","ZONE_DISTANCES",6067,10257,5023,5590,18052,18013,7361,0
"001:00:30.852","","","","","","ZONE_TIMERS",54.569,245.504,73.795,226.278,126.330,173.743,300.074,0.000
"001:00:30.852","","","","","","ZONE_COUNTERS",21,22,12,13,55,55,1,0
"001:00:30.853","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.853","","","","","","TOTAL_ARENA_DISTANCES",16324,10613,36065,7362
"001:00:30.910","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.910","","","","","","ZONE_DISTANCES",9145,48980,21907,46385,125760,127631,36127,27903
"001:00:30.911","","","","","","ZONE_TIMERS",87.435,1712.944,402.864,1397.516,866.168,934.211,1085.345,715.035
"001:00:30.911","","","","","","ZONE_COUNTERS",35,36,71,71,420,420,99,98
"001:00:30.912","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.912","","","","","","TOTAL_ARENA_DISTANCES",58125,68292,253391,64031
"001:03:02.820","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.821","","","","","","ZONE_DISTANCES",58,3455,304,3070,914,6184,814,0
"001:03:02.822","","","","","","ZONE_TIMERS",0.618,59.451,5.664,54.405,8.301,51.768,60.070,0.000
"001:03:02.822","","","","","","ZONE_COUNTERS",1,2,2,2,8,9,1,0
"001:03:02.823","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.823","","","","","","TOTAL_ARENA_DISTANCES",3513,3374,7098,814
"001:04:02.883","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.884","","","","","","ZONE_DISTANCES",4350,78,2987,567,6435,333,620,1156
"001:04:02.884","","","","","","ZONE_TIMERS",59.360,0.702,51.616,8.445,57.322,2.739,42.273,17.788
"001:04:02.885","","","","","","ZONE_COUNTERS",4,4,1,1,3,3,35,35
"001:04:02.885","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.886","","","","","","TOTAL_ARENA_DISTANCES",4428,3555,6768,1776
"001:05:02.954","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:02.955","","","","","","ZONE_DISTANCES",230,2486,404,3235,1402,6003,6,297
"001:05:02.955","","","","","","ZONE_TIMERS",1.793,58.277,4.315,55.755,11.171,48.899,7.557,52.513
"001:05:02.956","","","","","","ZONE_COUNTERS",1,1,3,2,8,8,1,1
"001:05:02.957","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.957","","","","","","TOTAL_ARENA_DISTANCES",2716,3639,7405,303
"001:06:03.032","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.033","","","","","","ZONE_DISTANCES",5447,261,3793,766,5871,856,3250,2081
"001:06:03.035","","","","","","ZONE_TIMERS",57.781,2.296,51.381,8.696,52.091,7.985,48.350,11.727
"001:06:03.036","","","","","","ZONE_COUNTERS",1,1,5,4,5,5,8,7
"001:06:03.037","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.037","","","","","","TOTAL_ARENA_DISTANCES",5709,4559,6727,5330
