"000:00:00.000","Info","2019-10-15 01:35:18","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7153 a6967 a7486 a7408"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.619","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.619","","","","","","ZONE_DISTANCES",15272,25718,15019,16019,747,9082,11752,8096
"000:35:30.620","","","","","","ZONE_TIMERS",131.481,168.583,132.440,167.623,5.848,294.216,208.593,91.471
"000:35:30.620","","","","","","ZONE_COUNTERS",40,41,39,38,5,6,32,32
"000:35:30.621","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.621","","","","","","TOTAL_ARENA_DISTANCES",40990,31038,9829,19848
"000:40:30.674","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.675","","","","","","ZONE_DISTANCES",2928,9632,13714,14074,1596,2449,5386,8391
"000:40:30.675","","","","","","ZONE_TIMERS",12.592,287.463,163.203,136.852,169.497,130.558,82.743,217.311
"000:40:30.676","","","","","","ZONE_COUNTERS",8,8,27,26,6,6,14,14
"000:40:30.676","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.676","","","","","","TOTAL_ARENA_DISTANCES",12561,27788,4045,13777
"000:45:30.738","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.739","","","","","","ZONE_DISTANCES",4954,7300,4737,11210,428,2371,9333,6479
"000:45:30.739","","","","","","ZONE_TIMERS",142.488,157.575,57.451,242.612,4.352,295.711,218.445,81.619
"000:45:30.740","","","","","","ZONE_COUNTERS",14,13,13,12,3,3,23,23
"000:45:30.740","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.741","","","","","","TOTAL_ARENA_DISTANCES",12254,15947,2799,15812
"000:50:30.798","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.799","","","","","","ZONE_DISTANCES",4147,6197,16389,13839,4176,471,1484,1998
"000:50:30.800","","","","","","ZONE_TIMERS",25.333,274.725,191.789,108.270,293.207,6.852,111.590,188.468
"000:50:30.801","","","","","","ZONE_COUNTERS",10,10,28,27,1,1,4,4
"000:50:30.802","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.803","","","","","","TOTAL_ARENA_DISTANCES",10344,30228,4647,3482
"000:55:30.887","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.888","","","","","","ZONE_DISTANCES",5717,6928,7719,6982,157,2156,2573,680
"000:55:30.888","","","","","","ZONE_TIMERS",106.460,193.629,116.979,183.110,3.297,296.792,292.097,7.992
"000:55:30.889","","","","","","ZONE_COUNTERS",12,12,17,17,1,1,3,3
"000:55:30.889","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.889","","","","","","TOTAL_ARENA_DISTANCES",12646,14700,2313,3254
"001:00:30.976","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.976","","","","","","ZONE_DISTANCES",7476,10279,12048,12176,2418,217,334,2781
"001:00:30.977","","","","","","ZONE_TIMERS",36.570,263.517,115.254,184.833,295.597,4.490,2.868,297.219
"001:00:30.977","","","","","","ZONE_COUNTERS",17,17,22,23,1,1,3,3
"001:00:30.977","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.978","","","","","","TOTAL_ARENA_DISTANCES",17755,24224,2636,3114
"001:00:31.078","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.078","","","","","","ZONE_DISTANCES",40494,66054,69626,74300,9522,16746,30862,28425
"001:00:31.079","","","","","","ZONE_TIMERS",454.926,1345.500,777.117,1023.309,771.805,1028.621,916.338,884.088
"001:00:31.079","","","","","","ZONE_COUNTERS",98,99,142,142,15,15,76,77
"001:00:31.080","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.080","","","","","","TOTAL_ARENA_DISTANCES",106548,143926,26268,59286
"001:03:02.999","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.999","","","","","","ZONE_DISTANCES",4743,4246,2302,3730,160,5353,651,659
"001:03:03.000","","","","","","ZONE_TIMERS",39.929,20.114,22.711,37.332,1.052,58.992,21.400,38.643
"001:03:03.000","","","","","","ZONE_COUNTERS",11,10,9,9,2,3,5,5
"001:03:03.001","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.001","","","","","","TOTAL_ARENA_DISTANCES",8990,6032,5513,1310
"001:04:03.070","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.070","","","","","","ZONE_DISTANCES",896,2057,2982,3418,4102,721,1129,1162
"001:04:03.071","","","","","","ZONE_TIMERS",4.266,55.804,23.360,36.710,52.598,7.472,24.621,35.448
"001:04:03.072","","","","","","ZONE_COUNTERS",3,3,7,8,3,3,3,3
"001:04:03.072","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.073","","","","","","TOTAL_ARENA_DISTANCES",2952,6400,4823,2292
"001:05:03.137","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.137","","","","","","ZONE_DISTANCES",427,3486,1889,3174,563,4215,1068,634
"001:05:03.138","","","","","","ZONE_TIMERS",1.534,58.532,18.236,41.830,5.763,54.303,54.459,5.608
"001:05:03.138","","","","","","ZONE_COUNTERS",2,3,5,6,3,3,2,3
"001:05:03.138","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.139","","","","","","TOTAL_ARENA_DISTANCES",3914,5062,4778,1701
"001:06:03.189","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.190","","","","","","ZONE_DISTANCES",1951,1955,2118,4790,4297,267,1192,2304
"001:06:03.190","","","","","","ZONE_TIMERS",11.783,48.269,17.608,42.443,57.059,2.992,10.185,49.866
"001:06:03.191","","","","","","ZONE_COUNTERS",2,3,6,6,1,1,3,4
"001:06:03.191","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.191","","","","","","TOTAL_ARENA_DISTANCES",3905,6908,4564,3496
"001:07:03.253","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.254","","","","","","ZONE_DISTANCES",2859,5715,1753,2513,1154,4889,527,81
"001:07:03.254","","","","","","ZONE_TIMERS",21.296,38.767,18.025,42.038,12.043,48.020,58.755,1.308
"001:07:03.255","","","","","","ZONE_COUNTERS",10,10,5,5,8,8,1,1
"001:07:03.255","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.255","","","","","","TOTAL_ARENA_DISTANCES",8575,4266,6043,608
"001:07:03.354","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.354","","","","","","ZONE_DISTANCES",10876,17459,11044,17625,10276,15445,4567,4840
"001:07:03.355","","","","","","ZONE_TIMERS",78.810,221.488,99.943,200.354,128.517,171.781,169.422,130.875
"001:07:03.355","","","","","","ZONE_COUNTERS",27,26,31,31,15,16,13,13
"001:07:03.356","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.356","","","","","","TOTAL_ARENA_DISTANCES",28336,28669,25721,9407
"001:07:03.356","Info","2019-10-15 02:42:21","Service 'BLUGRE' : Execution end"
