"000:00:00.000","Info","2019-10-14 23:24:25","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7167 a7054 a7288 a6840"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.672","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.675","","","","","","ZONE_DISTANCES",17843,17844,2883,2886,2972,1505,5631,8909
"000:35:30.676","","","","","","ZONE_TIMERS",147.396,152.640,243.484,56.551,288.603,11.433,88.384,211.652
"000:35:30.678","","","","","","ZONE_COUNTERS",42,42,6,7,6,5,22,23
"000:35:30.680","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.681","","","","","","TOTAL_ARENA_DISTANCES",35687,5769,4477,14539
"000:40:30.746","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.747","","","","","","ZONE_DISTANCES",17254,21311,589,1538,7,6,3017,5222
"000:40:30.747","","","","","","ZONE_TIMERS",119.331,180.742,7.912,292.161,282.271,17.803,70.367,229.706
"000:40:30.748","","","","","","ZONE_COUNTERS",37,37,3,3,1,1,11,12
"000:40:30.748","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.749","","","","","","TOTAL_ARENA_DISTANCES",38565,2127,13,8240
"000:45:30.815","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.815","","","","","","ZONE_DISTANCES",7259,22077,5142,2736,4498,3790,5122,6690
"000:45:30.816","","","","","","ZONE_TIMERS",59.956,240.111,254.716,45.351,274.555,25.513,105.638,194.429
"000:45:30.816","","","","","","ZONE_COUNTERS",19,19,9,8,14,14,21,22
"000:45:30.817","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.817","","","","","","TOTAL_ARENA_DISTANCES",29336,7878,8288,11811
"000:50:30.861","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.861","","","","","","ZONE_DISTANCES",12320,6625,1287,2656,3791,4463,1992,3118
"000:50:30.862","","","","","","ZONE_TIMERS",180.271,119.774,13.868,286.177,18.425,281.620,84.040,216.005
"000:50:30.862","","","","","","ZONE_COUNTERS",34,35,5,4,14,14,11,12
"000:50:30.863","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.863","","","","","","TOTAL_ARENA_DISTANCES",18944,3943,8254,5110
"000:55:30.911","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.911","","","","","","ZONE_DISTANCES",1185,9758,3344,1503,3804,2215,2290,5455
"000:55:30.912","","","","","","ZONE_TIMERS",14.308,285.741,262.078,37.971,289.982,10.067,45.693,254.356
"000:55:30.912","","","","","","ZONE_COUNTERS",12,12,5,4,8,8,10,11
"000:55:30.913","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.913","","","","","","TOTAL_ARENA_DISTANCES",10944,4846,6020,7745
"001:00:30.983","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.984","","","","","","ZONE_DISTANCES",6920,3667,558,1167,2086,4419,1275,4158
"001:00:30.984","","","","","","ZONE_TIMERS",208.244,91.828,180.778,119.293,11.842,288.229,22.564,277.508
"001:00:30.985","","","","","","ZONE_COUNTERS",18,18,3,3,7,7,7,8
"001:00:30.985","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.986","","","","","","TOTAL_ARENA_DISTANCES",10587,1725,6505,5433
"001:00:31.042","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.042","","","","","","ZONE_DISTANCES",62781,81282,13803,12486,17158,16398,19327,33552
"001:00:31.043","","","","","","ZONE_TIMERS",729.508,1070.845,962.839,837.514,1165.680,634.674,416.688,1383.665
"001:00:31.043","","","","","","ZONE_COUNTERS",160,160,27,28,47,47,82,83
"001:00:31.044","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.044","","","","","","TOTAL_ARENA_DISTANCES",144063,26289,33556,52879
"001:03:02.836","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.837","","","","","","ZONE_DISTANCES",7,0,0,58,7,0,7,0
"001:03:02.838","","","","","","ZONE_TIMERS",56.247,3.811,0.000,60.058,60.058,0.000,60.058,0.000
"001:03:02.840","","","","","","ZONE_COUNTERS",1,1,0,1,1,0,1,0
"001:03:02.841","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.842","","","","","","TOTAL_ARENA_DISTANCES",7,57,7,7
"001:04:02.909","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.909","","","","","","ZONE_DISTANCES",3146,1378,0,239,1996,1126,906,0
"001:04:02.910","","","","","","ZONE_TIMERS",33.850,26.223,0.000,60.073,6.713,53.360,59.992,0.080
"001:04:02.911","","","","","","ZONE_COUNTERS",13,14,0,1,6,6,2,1
"001:04:02.911","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.911","","","","","","TOTAL_ARENA_DISTANCES",4524,240,3122,906
