"000:00:00.000","Info","2019-10-16 01:21:37","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7232 a7497 a7322 a7264"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.627","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.628","","","","","","ZONE_DISTANCES",5266,5289,3698,9411,11419,14429,4937,13899
"000:35:30.629","","","","","","ZONE_TIMERS",211.039,89.038,28.497,271.580,106.202,193.875,48.520,251.557
"000:35:30.630","","","","","","ZONE_COUNTERS",19,18,13,12,29,29,23,24
"000:35:30.630","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.631","","","","","","TOTAL_ARENA_DISTANCES",10556,13108,25848,18836
"000:40:30.698","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.699","","","","","","ZONE_DISTANCES",2659,5797,6442,10981,12894,9564,2317,8384
"000:40:30.700","","","","","","ZONE_TIMERS",42.765,257.306,29.155,270.915,196.219,103.851,24.251,275.819
"000:40:30.700","","","","","","ZONE_COUNTERS",13,13,18,18,23,23,6,7
"000:40:30.701","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.701","","","","","","TOTAL_ARENA_DISTANCES",8456,17423,22458,10701
"000:45:30.752","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.752","","","","","","ZONE_DISTANCES",3985,7852,2902,6205,7894,10736,800,5619
"000:45:30.753","","","","","","ZONE_TIMERS",95.090,204.962,48.435,251.617,103.782,196.270,7.924,292.129
"000:45:30.753","","","","","","ZONE_COUNTERS",24,24,12,13,21,20,4,5
