"000:00:00.000","Info","2019-10-17 01:43:46","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7601 a7020 a7059 a6807"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.530","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.531","","","","","","ZONE_DISTANCES",1293,1390,17459,18647,10239,16063,0,2611
"000:35:30.532","","","","","","ZONE_TIMERS",293.783,6.219,157.261,142.741,100.395,199.608,0.000,300.003
"000:35:30.533","","","","","","ZONE_COUNTERS",4,4,53,52,31,32,0,1
"000:35:30.534","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.535","","","","","","TOTAL_ARENA_DISTANCES",2683,36106,26302,2611
"000:40:30.570","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.572","","","","","","ZONE_DISTANCES",1849,3264,13178,13931,8584,12481,1636,3604
"000:40:30.574","","","","","","ZONE_TIMERS",19.082,280.957,99.957,200.081,103.578,196.461,16.373,283.665
"000:40:30.576","","","","","","ZONE_COUNTERS",5,5,34,34,26,27,5,6
"000:40:30.578","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.579","","","","","","TOTAL_ARENA_DISTANCES",5113,27109,21065,5240
"000:45:30.611","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.611","","","","","","ZONE_DISTANCES",1302,1747,10806,12112,10655,10178,771,2668
"000:45:30.612","","","","","","ZONE_TIMERS",2.690,297.350,187.129,112.912,146.928,153.113,16.401,283.639
"000:45:30.612","","","","","","ZONE_COUNTERS",4,5,29,30,31,32,3,4
"000:45:30.613","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.613","","","","","","TOTAL_ARENA_DISTANCES",3049,22918,20832,3438
"000:50:30.621","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.621","","","","","","ZONE_DISTANCES",2700,13542,7749,10633,8988,9641,393,2696
"000:50:30.622","","","","","","ZONE_TIMERS",8.963,291.047,50.292,249.717,111.789,188.220,1.774,298.236
"000:50:30.622","","","","","","ZONE_COUNTERS",7,8,22,23,29,30,3,4
"000:50:30.623","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.623","","","","","","TOTAL_ARENA_DISTANCES",16242,18382,18629,3089
