"000:00:00.000","Info","2019-10-17 01:43:06","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7214 a7728 a7646 a7180"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.608","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.611","","","","","","ZONE_DISTANCES",3056,5459,492,11337,8396,23563,11066,15205
"000:35:30.613","","","","","","ZONE_TIMERS",253.588,46.483,3.518,296.553,64.809,235.262,66.985,233.085
"000:35:30.615","","","","","","ZONE_COUNTERS",13,13,7,8,25,25,30,30
"000:35:30.618","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.619","","","","","","TOTAL_ARENA_DISTANCES",8515,11829,31960,26272
"000:40:30.710","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.711","","","","","","ZONE_DISTANCES",0,1646,15532,1295,12756,5344,2532,7400
"000:40:30.712","","","","","","ZONE_TIMERS",0.000,300.102,287.162,12.940,254.155,45.947,58.546,241.556
"000:40:30.712","","","","","","ZONE_COUNTERS",0,1,8,8,15,14,9,10
"000:40:30.713","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.713","","","","","","TOTAL_ARENA_DISTANCES",1645,16827,18099,9932
