Sex,Fish_ID
male,a6985
female,a6834
female,a7082
male,a6859
male,a7152
female,a7659
female,a7698
male,a7179
male,a7475
female,a7498
male,a7614
female,a8068
male,a7563
male,a7720
female,a6899
female,a7013
female,a6923
female,a7376
female,a7226
male,a7403
male,a7272
male,a7555
male,a7070
female,a7281
male,a7474
male,a7056
male,a7408
female,a7658
male,a7006
female,a6881
male,a7370
female,a7549
male,a7153
male,a6967
male,a7250
male,a7336
male,a6847
female,a7204
male,a7688
female,a6798
male,a7096
male,a7573
female,a7284
male,a7600
female,a8064
female,a7486
male,a7163
male,a7729
female,a7322
male,a7564
female,a6929
female,a7679
male,a7466
female,a7279
female,a7497
female,a7044
male,a7361
female,a6885
female,a6845
male,a7730
female,a7093
male,a7017
male,a7611
female,a7552
male,a7144
male,a7264
female,a7232
female,a6813
male,a6990
male,a8043
female,a7660
male,a7407
female,a7020
male,a7737
female,a7367
male,a6807
male,a8066
female,a7661
female,a7090
female,a6971
female,a8045
female,a7201
male,a7539
male,a7492
female,a6930
male,a6843
female,a7418
male,a7696
male,a7184
female,a7601
female,a7438
female,a7578
male,a6884
male,a7286
female,a7059
female,a7259
female,a7087
male,a7683
female,a6925
male,a7599
male,a7269
female,a6894
male,a7412
male,a6991
male,a7723
female,a6846
female,a7662
female,a7292
male,a7191
male,a7468
male,a7062
female,a7206
female,a7550
male,a7155
female,a7488
female,a7319
female,a6825
male,a6998
male,a7560
,
female,a7089
male,a7724
female,a7222
female,a7495
male,a7375
female,a6932
female,a8071
male,a7054
female,a6840
male,a7411
female,a7207
female,a6883
male,a7015
female,a8067
male,a7570
female,a7604
female,a7288
female,a7649
male,a6833
male,a7142
male,a7461
female,a8050
male,a7251
male,a7167
female,a7556
female,a7484
female,a7019
female,a7459
female,a7210
male,a7139
female,a7640
female,a8063
male,a8070
female,a7160
male,a7414
female,a7296
female,a7091
male,a7045
male,a7325
male,a6808
male,a6996
male,a6842
male,a6882
female,a7686
male,a7719
female,a7253
male,a7610
male,a7566
male,a6869
male,a6799
male,a8057
male,a7548
female,a7439
female,a6961
male,a7297
male,a7180
male,a7018
female,a7214
female,a7061
female,a7562
male,a7646
male,a7321
female,a7358
male,a6891
male,a7728
female,a7608
male,a7138
female,a7409
female,a8062
male,a7682
male,a7494
male,a7266
