sex,Fish_ID,test,filepath,day,BASELINE,PROBE,difference,set,tod
male,a6985,BLUCS,./Data/Day1/BLUGRE-c1d-D1-PM.csv,1,41.26646667,6.9375,34.32896667,control,PM
male,a6985,BLUCS,./Data/Day5/BLUGRE-c1d-D5-AM.csv,5,33.05713333,1.9645,31.09263333,control,AM
female,a7082,BLUCS,./Data/Day1/BLUGRE-c1a-D1-NOON.csv,1,48.55263333,30.2025,18.35013333,control,NOON
female,a7082,BLUCS,./Data/Day5/BLUGRE-c1a-D5-AM.csv,5,40.99983333,50.4485,-9.448666667,control,AM
male,a6859,BLUCS,./Data/Day1/BLUGRE-c1b-D1-NOON.csv,1,53.16163333,28.8675,24.29413333,control,NOON
male,a6859,BLUCS,./Data/Day5/BLUGRE-c1b-D5-AM.csv,5,39.21986667,4.937,34.28286667,control,AM
male,a7152,BLUCS,./Data/Day1/BLUGRE-c1b-D1-NOON.csv,1,37.1067,41.886,-4.7793,control,NOON
male,a7152,BLUCS,./Data/Day5/BLUGRE-c1b-D5-AM.csv,5,30.75793333,3.2355,27.52243333,control,AM
female,a7659,BLUCS,./Data/Day1/BLUGRE-c1a-D1-NOON.csv,1,47.38666667,30.0275,17.35916667,control,NOON
female,a7659,BLUCS,./Data/Day5/BLUGRE-c1a-D5-AM.csv,5,32.0601,53.7065,-21.6464,control,AM
female,a7698,BLUCS,./Data/Day1/BLUGRE-c1a-D1-NOON.csv,1,23.59183333,19.086,4.505833333,control,NOON
female,a7698,BLUCS,./Data/Day5/BLUGRE-c1a-D5-AM.csv,5,4.038833333,1.771,2.267833333,control,AM
male,a7179,BLUCS,./Data/Day1/BLUGRE-c1e-D1-PM.csv,1,30.7488,30.0405,0.7083,control,PM
male,a7179,BLUCS,./Data/Day5/BLUGRE-c1e-D5-NOON.csv,5,33.38416667,30.0355,3.348666667,control,NOON
male,a7475,BLUCS,./Data/Day1/BLUGRE-c1e-D1-PM.csv,1,29.66953333,30.0305,-0.360966667,control,PM
male,a7475,BLUCS,./Data/Day5/BLUGRE-c1e-D5-NOON.csv,5,33.88913333,24.632,9.257133333,control,NOON
female,a7498,BLUCS,./Data/Day1/BLUGRE-c1c-D1-NOON.csv,1,43.16806667,27.892,15.27606667,control,NOON
female,a7498,BLUCS,./Data/Day5/BLUGRE-c1c-D5-AM.csv,5,30.43616667,6.5215,23.91466667,control,AM
male,a7614,BLUCS,./Data/Day1/BLUGRE-c1d-D1-PM.csv,1,31.9187,26.193,5.7257,control,PM
male,a7614,BLUCS,./Data/Day5/BLUGRE-c1d-D5-AM.csv,5,14.86156667,11.4605,3.401066667,control,AM
female,a8068,BLUCS,./Data/Day1/BLUGRE-c1e-D1-PM.csv,1,17.05023333,44.963,-27.91276667,control,PM
female,a8068,BLUCS,./Data/Day5/BLUGRE-c1e-D5-NOON.csv,5,41.06903333,22.8455,18.22353333,control,NOON
male,a7563,BLUCS,./Data/Day1/BLUGRE-c1d-D1-PM.csv,1,32.68216667,40.771,-8.088833333,control,PM
male,a7563,BLUCS,./Data/Day5/BLUGRE-c1d-D5-AM.csv,5,13.99186667,2.3165,11.67536667,control,AM
male,a7720,BLUCS,./Data/Day1/BLUGRE-c1a-D1-NOON.csv,1,26.68046667,30.8515,-4.171033333,control,NOON
male,a7720,BLUCS,./Data/Day5/BLUGRE-c1a-D5-AM.csv,5,26.87186667,13.875,12.99686667,control,AM
female,a6899,BLUCS,./Data/Day1/BLUGRE-c1d-D1-PM.csv,1,24.0823,30.042,-5.9597,control,PM
