Mark,Sex,Fish_ID,Tank,Treatment_Tank,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
Gre.Bro,female,a6834,HA_C1,Control,0.227,2.521,0.035717427,,15/05/2019,0,112,
Gre.Yel,male,a6859,HA_C1,Control,0.219,2.614,0.032050363,,15/05/2019,0,112,
Red.Red,female,a6899,HA_C1,Control,0.338,2.797,0.043204777,,15/05/2019,0,112,
Bla.Red,female,a6923,HA_C1,Control,0.175,2.259,0.034293008,,15/05/2019,0,112,
Red.Pin,male,a6985,HA_C1,Control,0.184,2.49,0.029676941,,15/05/2019,0,112,
Blu.Yel,female,a7002,HA_C1,Control,0.185,2.202,0.038153739,,15/05/2019,0,112,
Whi._,male,a7070,HA_C1,Control,0.215,2.547,0.033142142,,15/05/2019,0,112,
Bro.Bla,female,a7082,HA_C1,Control,0.289,2.631,0.041749968,,15/05/2019,0,112,
Ora.Bro,male,a7152,HA_C1,Control,0.209,2.478,0.034036405,,15/05/2019,0,112,
Whi.Blu,male,a7179,HA_C1,Control,0.19,2.4,0.032986111,,15/05/2019,0,112,
Red.Whi,female,a7226,HA_C1,Control,0.284,2.75,0.037553719,,15/05/2019,0,112,
Pur.Yel,male,a7272,HA_C1,Control,0.162,2.463,0.026704607,,15/05/2019,0,112,
Whi.Pur,female,a7376,HA_C1,Control,0.249,2.201,0.051399544,,15/05/2019,0,112,now looks female 
Ora.Bla,male,a7403,HA_C1,Control,0.226,2.594,0.03358679,,15/05/2019,0,112,
Yel._,male,a7475,HA_C1,Control,0.154,2.371,0.027394136,,15/05/2019,0,112,
Ora.Pin,female,a7498,HA_C1,Control,0.25,2.626,0.036253552,,15/05/2019,0,112,
Pin.Ora,male,a7555,HA_C1,Control,0.234,2.637,0.033650816,,15/05/2019,0,112,
Red.Yel,male,a7563,HA_C1,Control,0.231,2.609,0.033936248,,15/05/2019,0,112,
Red.Ora,male,a7614,HA_C1,Control,0.203,2.369,0.03617145,,15/05/2019,0,112,
Blu.Blu,female,a7659,HA_C1,Control,0.275,2.396,0.047902598,,15/05/2019,0,112,
Gre.Gre,female,a7698,HA_C1,Control,0.256,2.342,0.04667305,,15/05/2019,0,112,
Bro.Bro,male,a7720,HA_C1,Control,0.162,2.179,0.034119335,,15/05/2019,0,112,
Yel.Red,female,a8068,HA_C1,Control,0.175,2.156,0.037647881,,15/05/2019,0,112,
Bla._,female,a6798,HA_C2,Control,0.231,2.447,0.038578385,,16/05/2019,0,112,
Pin.Yel,male,a6847,HA_C2,Control,0.214,2.516,0.0338059,,16/05/2019,0,112,
