Mark,Sex,ID,Treatment_Tank,fish_length_cm,Week ,Measure
Yel._,male,a7475,HA_C1,2.793,6,1
Blu.Blu,female,a7659,HA_C1,3.156,6,1
Red.Red,female,a6899,HA_C1,3.431,6,1
Red.Ora,male,a7614,HA_C1,3.161,6,1
Pur.Yel,male,a7272,HA_C1,2.919,6,1
Gre.Bro,female,a6834,HA_C1,2.938,6,1
Bro.Bro,male,a7720,HA_C1,2.804,6,1
Bla.Red,female,a6923,HA_C1,3.553,6,1
Whi.Pur,female,a7376,HA_C1,3.212,6,1
Blu.Yel,female,a7002,HA_C1,2.672,6,1
Ora.Bro,male,a7152,HA_C1,3.12,6,1
Bro.Bla,female,a7082,HA_C1,3.358,6,1
Pin.Ora,female,a7555,HA_C1,3.184,6,1
Whi._,male,a7070,HA_C1,3.245,6,1
Red.Yel,male,a7563,HA_C1,3.16,6,1
Ora.Pin,female,a7498,HA_C1,3.237,6,1
Whi.Blu,male,a7179,HA_C1,3.123,6,1
Red.Pin,male,a6985,HA_C1,2.944,6,1
Red.Whi,female,a7226,HA_C1,3.641,6,1
Gre.Yel,female,a6859,HA_C1,3.168,6,1
Pin.Whi,female,a7281,HA_C1,3.316,6,1
Gre.Gre,female,a7698,HA_C1,3.097,6,1
Ora.Bla,male,a7403,HA_C1,3.292,6,1
Yel.Red,female,a8068,HA_C1,2.988,6,1
Blu.Pur,female,a6813,HA_C3,2.675,0,1
Pin.Gre,female,a6845,HA_C3,2.639,0,1
Blu.Gre,female,a6885,HA_C3,2.416,0,1
Bla.Bla,female,a6929,HA_C3,2.526,0,1
Red.Gre,male,a6990,HA_C3,2.58,0,1
Gre._,male,a7017,HA_C3,2.546,0,1
Red.Yel,male,a7048,HA_C3,2.633,0,1
Red.Pur,female,a7093,HA_C3,2.672,0,1
Bla.Red,male,a7144,HA_C3,2.657,0,1
_.Pur,male,a7168,HA_C3,2.384,0,1
Whi.Pin,female,a7232,HA_C3,2.968,0,1
Whi.Ora,male,a7264,HA_C3,2.474,0,1
_.Pin,female,a7279,HA_C3,2.605,0,1
Red.Whi,female,a7322,HA_C3,2.481,0,1
Bro.Ora,male,a7361,HA_C3,2.585,0,1
Ora.Bro,male,a7407,HA_C3,2.925,0,1
Red.Blu,male,a7466,HA_C3,2.355,0,1
Red.Red,female,a7497,HA_C3,2.619,0,1
Pin.Blu,female,a7552,HA_C3,2.421,0,1
Red.Bro,male,a7564,HA_C3,2.491,0,1
Red._,male,a7611,HA_C3,2.478,0,1
Bla.Blu,female,a7660,HA_C3,2.566,0,1
Gre.Pin,female,a7679,HA_C3,2.508,0,1
Pur._,male,a7730,HA_C3,2.348,0,1
Red.Gre,female,a7562,HA_T4,3.177,6,1
Gre.Gre,male,a6869,HA_T4,3.329,6,1
Gre.Bro,female,a7018,HA_T4,3.495,6,1
Whi.Bla,female,a7260,HA_T4,3.538,6,1
Bro.Yel,male,a7728,HA_T4,3.304,6,1
Yel.Blu,female,a7214,HA_T4,3.346,6,1
Whi.Pur,male,a7180,HA_T4,3.143,6,1
Ora.Gre,female,a7061,HA_T4,3.634,6,1
_.Bla,male,a6799,HA_T4,3.283,6,1
Pin._,male,a7548,HA_T4,3.236,6,1
