old_name,var.type,description,stat,unit,new_name,take
dist center-point Mean cm,dist,center-point,Mean,cm,dist_m,yes
dist center-point Total cm,dist,center-point,Total,cm,dist_t,yes
speed center-point Mean cm/s,speed,center-point,Mean,cm/s,speed_m,yes
speed center-point Total cm/s,speed,center-point,Total,cm/s,speed_t,yes
dist_stim 0-5cm (Center) / center-point Mean cm,dist_stim,0-5cm (Center),Mean,cm,dist_stim_m,yes
dist_stim 0-5cm (Center) / center-point Total cm,dist_stim,0-5cm (Center),Total,cm,dist_stim_t,yes
freeze Not Moving / center-point Mean s,freeze,Not Moving,Mean,s,freeze_m,yes
freeze Not Moving / center-point Frequency,freeze,Not Moving,Frequency,NA,freeze_freq,yes
freeze Not Moving / center-point Cumulative Duration s,freeze,Not Moving,Cumulative Duration,s,freeze_dur,yes
freeze Not Moving / center-point Cumulative Duration (%),freeze,Not Moving,Cumulative Duration (%),NA,freeze_per,no
in_det_zone 5-10cm / center-point Frequency,in_det_zone,5-10cm,Frequency,NA,stim.dist_5_10cm_freq,yes
in_det_zone 5-10cm / center-point Cumulative Duration s,in_det_zone,5-10cm,Cumulative Duration,s,stim.dist_5_10cm_dur,yes
in_det_zone 5-10cm / center-point Cumulative Duration (%),in_det_zone,5-10cm,Cumulative Duration (%),NA,stim.dist_5_10cm_per,no
in_det_zone 0-5cm / center-point Frequency,in_det_zone,0-5cm,Frequency,NA,stim.dist_0_5cm_freq,yes
in_det_zone 0-5cm / center-point Cumulative Duration s,in_det_zone,0-5cm,Cumulative Duration,s,stim.dist_0_5cm_dur,yes
in_det_zone 0-5cm / center-point Cumulative Duration (%),in_det_zone,0-5cm,Cumulative Duration (%),NA,stim.dist_0_5cm_per,no
in_det_zone 20-25cm / center-point Frequency,in_det_zone,20-25cm,Frequency,NA,stim.dist_20_25cm_freq,yes
in_det_zone 20-25cm / center-point Cumulative Duration s,in_det_zone,20-25cm,Cumulative Duration,s,stim.dist_20_25cm_dur,yes
in_det_zone 20-25cm / center-point Cumulative Duration (%),in_det_zone,20-25cm,Cumulative Duration (%),NA,stim.dist_20_25cm_per,no
in_det_zone 15-20cm / center-point Frequency,in_det_zone,15-20cm,Frequency,NA,stim.dist_15_20cm_freq,yes
in_det_zone 15-20cm / center-point Cumulative Duration s,in_det_zone,15-20cm,Cumulative Duration,s,stim.dist_15_20cm_dur,yes
in_det_zone 15-20cm / center-point Cumulative Duration (%),in_det_zone,15-20cm,Cumulative Duration (%),NA,stim.dist_15_20cm_per,no
in_det_zone 30-35cm / center-point Frequency,in_det_zone,30-35cm,Frequency,NA,stim.dist_30_35cm_freq,yes
in_det_zone 30-35cm / center-point Cumulative Duration s,in_det_zone,30-35cm,Cumulative Duration,s,stim.dist_30_35cm_dur,yes
in_det_zone 30-35cm / center-point Cumulative Duration (%),in_det_zone,30-35cm,Cumulative Duration (%),NA,stim.dist_30_35cm_per,no
in_det_zone 10-15cm / center-point Frequency,in_det_zone,10-15cm,Frequency,NA,stim.dist_10_15cm_freq,yes
in_det_zone 10-15cm / center-point Cumulative Duration s,in_det_zone,10-15cm,Cumulative Duration,s,stim.dist_10_15cm_dur,yes
in_det_zone 10-15cm / center-point Cumulative Duration (%),in_det_zone,10-15cm,Cumulative Duration (%),NA,stim.dist_10_15cm_per,no
in_det_zone 35-40cm / center-point Frequency,in_det_zone,35-40cm,Frequency,NA,stim.dist_35_40cm_freq,yes
in_det_zone 35-40cm / center-point Cumulative Duration s,in_det_zone,35-40cm,Cumulative Duration,s,stim.dist_35_40cm_dur,yes
in_det_zone 35-40cm / center-point Cumulative Duration (%),in_det_zone,35-40cm,Cumulative Duration (%),NA,stim.dist_35_40cm_per,no
in_det_zone 25-30cm / center-point Frequency,in_det_zone,25-30cm,Frequency,NA,stim.dist_25_30cm_freq,yes
in_det_zone 25-30cm / center-point Cumulative Duration s,in_det_zone,25-30cm,Cumulative Duration,s,stim.dist_25_30cm_dur,yes
in_det_zone 25-30cm / center-point Cumulative Duration (%),in_det_zone,25-30cm,Cumulative Duration (%),NA,stim.dist_25_30cm_per,no
in_zone Near / center-point Frequency,in_zone,Near,Frequency,NA,near_freq,yes
in_zone Near / center-point Cumulative Duration s,in_zone,Near,Cumulative Duration,s,near_dur,yes
in_zone Near / center-point Cumulative Duration (%),in_zone,Near,Cumulative Duration (%),NA,near_per,no
in_zone Middle / center-point Frequency,in_zone,Middle,Frequency,NA,mid_freq,yes
in_zone Middle / center-point Cumulative Duration s,in_zone,Middle,Cumulative Duration,s,mid_dur,yes
in_zone Middle / center-point Cumulative Duration (%),in_zone,Middle,Cumulative Duration (%),NA,mid_per,no
in_zone Far / center-point Frequency,in_zone,Far,Frequency,NA,far_freq,yes
in_zone Far / center-point Cumulative Duration s,in_zone,Far,Cumulative Duration,s,far_dur,yes
in_zone Far / center-point Cumulative Duration (%),in_zone,Far,Cumulative Duration (%),NA,far_per,no
risk_3 Arena / center-point Frequency,risk,In_3cm,Frequency,NA,risk3_freq,yes
risk_3 Arena / center-point Cumulative Duration s,risk,In_3cm,Cumulative Duration,s,risk3_dur,yes
risk_3 Arena / center-point Cumulative Duration (%),risk,In_3cm,Cumulative Duration (%),NA,risk3_per,no
move Moving / center-point Cumulative Duration s,move,Moving,Cumulative Duration,s,move_dur,yes
